gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
S100A6,8,19,2.3817503,2.080929,-0.43399340393807345,0.00061381405,0.04849130957154557,False,
SLC39A6,8,19,0.050363235,0.08538687,0.050528427581083425,0.0015782436,0.06234062084695324,True,0.022095409920439124
SLC39A9,8,19,0.03520044,0.087106235,0.07488423438422562,0.0062373113,0.16424919726947942,True,0.03998446526626746
SLC30A9,8,19,0.060406804,0.14108677,0.11639658973189877,0.0085681,0.1692199690733105,True,0.03998446526626746
SLC39A11,8,19,0.02906236,0.14043403,0.16067535051219428,0.013530199,0.1788730884436518,True,0.04735569795593619
SLC39A1,8,19,0.06635175,0.088404834,0.03181587675178689,0.01811373,0.1788730884436518,True,0.05071844533085823
FTL,8,19,3.0878575,2.862965,-0.32445111826281786,0.015675152,0.1788730884436518,False,
PRF1,8,19,0.193703,0.30435565,0.15963803715351524,0.01811373,0.1788730884436518,False,
NT5C3A,8,19,0.19280729,0.2580596,0.09413917549868074,0.020878326,0.18326530729730925,False,
ACTB,8,19,3.2463157,3.6528912,0.5865643729979969,0.03592747,0.2153560052315394,False,
RPL31,8,19,3.2000241,2.556384,-0.9285762957751144,0.03592747,0.2153560052315394,False,
SLC26A3,8,19,0.20770015,0.5391666,0.4782050699867011,0.034653928,0.2153560052315394,False,
GZMA,8,19,0.808936,1.0019227,0.27842099365529227,0.04089038,0.2153560052315394,False,
FERMT3,8,19,0.22442983,0.31108895,0.12502268055556195,0.04089038,0.2153560052315394,False,
FTH1,8,19,3.0700946,2.8584285,-0.3053696431495892,0.03148764,0.2153560052315394,False,
LIMS1,8,19,0.36049455,0.4331653,0.10484174185319875,0.05938701,0.27220957255677175,False,
ATP5E,8,19,1.6548171,0.7544094,-1.2990137690608132,0.0644368,0.27220957255677175,False,
GNB2L1,8,19,2.0081465,0.96447927,-1.505693661761217,0.0644368,0.27220957255677175,False,
TALAM1,8,19,0.26196975,0.9151378,0.9423223531106261,0.065468125,0.27220957255677175,False,
MT1X,8,19,0.36922014,0.27113333,-0.1415093459260666,0.07522301,0.28298178563515347,True,0.1755203480521838
ILK,8,19,0.21347333,0.25654688,0.06214199678613742,0.07522301,0.28298178563515347,False,
KLRB1,8,19,0.8160958,0.66509324,-0.217850681821896,0.084348366,0.30288731306791306,False,
ENSG00000289901,8,19,0.3513135,0.8545139,0.7259647386721956,0.09352518,0.31056711574395496,False,
LGALS1,8,19,0.9306159,0.7722613,-0.228457367848558,0.0943495,0.31056711574395496,False,
GPX1,8,19,0.79178333,0.65537566,-0.19679467389411148,0.10527961,0.3198880444352444,False,
GZMK,8,19,0.739066,0.9178451,0.2579236713688356,0.10527961,0.3198880444352444,False,
RPL13A,8,19,3.740686,2.9782248,-1.0999989711267137,0.11719136,0.3306470497378281,False,
TMSB4X,8,19,4.8413305,4.4970183,-0.4967374904870502,0.11719136,0.3306470497378281,False,
TPM4,8,19,0.35394526,0.43518573,0.11720523065842434,0.13013631,0.3545092611477293,False,
MTRNR2L8,8,19,0.9166187,0.41190138,-0.7281532179044248,0.1358968,0.35786157846450806,False,
S100A4,8,19,2.5402799,2.328698,-0.30524822339808005,0.15932375,0.3596164686339242,False,
CTSS,8,19,0.33150548,0.37104997,0.057050643887826186,0.15932375,0.3596164686339242,False,
H3F3B,8,19,1.5374107,0.786085,-1.0839338997269679,0.15225932,0.3596164686339242,False,
H3F3A,8,19,1.3683288,0.64642495,-1.0414871196414943,0.15225932,0.3596164686339242,False,
TLN1,8,19,0.32569224,0.4341543,0.15647768396126027,0.15932375,0.3596164686339242,False,
