gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
ZC3H12B,8,18,0.06545418,0.20015608,0.19433377414291556,0.023599735,0.2000932190567255,False,
PRKCA,8,18,0.108106114,0.36216807,0.3665339400634029,0.0132883135,0.2000932190567255,False,
IFNG-AS1,8,18,0.13551398,0.3236498,0.2714226111328888,0.034453038,0.2000932190567255,False,
LIMS1,8,18,0.26626065,0.3842369,0.17020374831360918,0.007629899,0.2000932190567255,False,
RUFY1,8,18,0.07424232,0.13738865,0.09110088699287565,0.022075498,0.2000932190567255,False,
SLC30A9,8,18,0.06542563,0.17092675,0.1522059466323828,0.013411737,0.2000932190567255,True,0.10779576189815998
LINC01934,8,18,0.07503435,0.28540525,0.3035010516479648,0.019033454,0.2000932190567255,False,
SLC39A11,8,18,0.04750562,0.16956614,0.17609611040831394,0.02590453,0.2000932190567255,True,0.10779576189815998
SLC39A14,8,18,0.003980738,0.010673774,0.009656010271969566,0.03079879,0.2000932190567255,True,0.10779576189815998
FHIT,8,18,0.13511628,0.27882957,0.20733445866958783,0.035183307,0.2000932190567255,False,
SLC39A9,8,18,0.042464133,0.115583524,0.10548897706188957,0.030232033,0.2000932190567255,True,0.10779576189815998
TALAM1,8,18,0.32338244,0.97443706,0.9392732726934794,0.03433573,0.2000932190567255,False,
TEX14,8,18,0.11057389,0.37222257,0.3774792599296138,0.023095392,0.2000932190567255,False,
MTSS1,8,18,0.083154716,0.1665647,0.12033517516822363,0.02590453,0.2000932190567255,False,
TOX,8,18,0.08964597,0.2654854,0.25368268668771554,0.011103039,0.2000932190567255,False,
FCHSD2,8,18,0.12858808,0.40983155,0.40574856419988625,0.0132883135,0.2000932190567255,False,
PLCB1,8,18,0.08942051,0.29758525,0.3003182332219409,0.02091547,0.2000932190567255,False,
AFF3,8,18,0.09195854,0.2245484,0.1912867360197478,0.022075498,0.2000932190567255,False,
ARHGAP26,8,18,0.12293619,0.38245994,0.3744136261823215,0.018732937,0.2000932190567255,False,
WWOX,8,18,0.14182447,0.4624858,0.46261647652117066,0.018732937,0.2000932190567255,False,
ATP5L,8,18,1.3219154,0.5440108,-1.1222790655720143,0.022436915,0.2000932190567255,False,
BACH2,8,18,0.15922637,0.43249124,0.3942378943646266,0.00501552,0.2000932190567255,False,
C14orf2,8,18,0.8414756,0.3202794,-0.7519272396464451,0.036380585,0.2000932190567255,False,
BCL2,8,18,0.22323146,0.5042168,0.4053761357694428,0.030250756,0.2000932190567255,False,
VCL,8,18,0.116310686,0.2112397,0.13695361149603621,0.040736746,0.21509001910686493,False,
RPL31,8,18,3.2423444,2.746902,-0.7147722797366949,0.046987887,0.23733496831523046,False,
SIPA1L1,8,18,0.097145654,0.27552974,0.2573538498508644,0.04854579,0.23733496831523046,False,
H3F3B,8,18,1.3899109,0.56296927,-1.1930246449523831,0.057117913,0.269270160900695,False,
ODC1,8,18,0.1161286,0.20021689,0.12131375645163302,0.06268359,0.2853184085467766,False,
TPM4,8,18,0.31000894,0.4254281,0.1665146344612765,0.070399895,0.299767296160421,False,
HBB,8,18,1.3210905,0.36228007,-1.3832709934235679,0.070399895,0.299767296160421,False,
ANK3,8,18,0.12849748,0.44048005,0.45009570958173106,0.079968,0.3015935923371996,False,
MT1X,8,18,0.29159057,0.2351479,-0.08142957160859375,0.079968,0.3015935923371996,True,0.22391039431095122
TLN1,8,18,0.4783445,0.5152587,0.05325597568352646,0.079968,0.3015935923371996,False,
LYN,8,18,0.12608947,0.22508714,0.14282344386347795,0.079968,0.3015935923371996,False,
ATP5E,8,18,1.5946454,0.68153435,-1.3173407562847066,0.08686596,0.30672596280391395,False,
TUBA1C,8,18,0.15534306,0.20904285,0.07747242279489139,0.090496235,0.30672596280391395,False,
SLC26A3,8,18,0.08655311,0.32010522,0.3369444754672762,0.09062358,0.30672596280391395,False,
NT5C3A,8,18,0.21593755,0.3066843,0.13091985816449087,0.090496235,0.30672596280391395,False,
