gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
SLC39A6,8,19,0.050116293,0.08457836,0.04971824955961577,0.0014999494,0.11399615230038762,True,0.0209992912132293
SLC30A9,8,19,0.06060091,0.13886157,0.11290626632613214,0.0053962143,0.16561963533361754,True,0.03050888019303481
SLC39A9,8,19,0.035249434,0.086290024,0.07363600580209471,0.006537617,0.16561963533361754,True,0.03050888019303481
RPL31,8,19,3.2011511,2.5538836,-0.9338097278408697,0.021677647,0.20593764446675777,False,
NT5C3A,8,19,0.19251831,0.25585517,0.09137577976244848,0.021677647,0.20593764446675777,False,
SLC39A1,8,19,0.065085724,0.08727318,0.03200973344605631,0.0185246,0.20593764446675777,True,0.05186888054013252
SLC39A11,8,19,0.028856067,0.13788392,0.15729393512008652,0.011246467,0.20593764446675777,True,0.039362634532153606
FTL,8,19,3.0648668,2.853326,-0.30518871740088155,0.015756225,0.20593764446675777,False,
PRF1,8,19,0.19103695,0.28878716,0.1410237314135241,0.03390246,0.21967190752426785,False,
SLC26A3,8,19,0.20710754,0.53514975,0.4732648683406669,0.034685038,0.21967190752426785,False,
FTH1,8,19,3.0432043,2.852541,-0.27506905178997615,0.03390246,0.21967190752426785,False,
ACTB,8,19,3.245158,3.6433961,0.5745362503619538,0.03390246,0.21967190752426785,False,
FERMT3,8,19,0.22086257,0.3075433,0.1250538739088622,0.03903832,0.22822401959162492,False,
ILK,8,19,0.21115008,0.2539447,0.0617395788809498,0.06619776,0.25155148953199385,False,
ATP5E,8,19,1.6545653,0.7537845,-1.2995520747580138,0.0644368,0.25155148953199385,False,
TALAM1,8,19,0.2585385,0.9164389,0.949149548401927,0.06551221,0.25155148953199385,False,
MT1X,8,19,0.37148768,0.26831612,-0.1488450939159688,0.058322355,0.25155148953199385,True,0.13608549535274506
GNB2L1,8,19,2.0084655,0.96398723,-1.5068636597350369,0.0644368,0.25155148953199385,False,
LIMS1,8,19,0.3559625,0.42636526,0.10156968592920838,0.058322355,0.25155148953199385,False,
GZMA,8,19,0.80894744,0.9813043,0.24865836402757807,0.05119827,0.25155148953199385,False,
KLRB1,8,19,0.82029617,0.65223485,-0.24246122717771304,0.07489387,0.2710444799491337,False,
ENSG00000289901,8,19,0.348601,0.85190564,0.7261150515090496,0.08331065,0.28780042312361975,False,
H3F3B,8,19,1.5339015,0.78469014,-1.0808834434486143,0.1358968,0.33316635316418064,False,
MTRNR2L8,8,19,0.91283745,0.40814745,-0.7281137478860518,0.1358968,0.33316635316418064,False,
H3F3A,8,19,1.3661345,0.6424355,-1.0440770063808373,0.1358968,0.33316635316418064,False,
LGALS1,8,19,0.9111376,0.76384884,-0.21249273431691607,0.11878338,0.33316635316418064,False,
GZMK,8,19,0.73875964,0.9031482,0.23716252769595536,0.13227391,0.33316635316418064,False,
GPX1,8,19,0.7657162,0.6402971,-0.18094148512022865,0.10633875,0.33316635316418064,False,
TMSB4X,8,19,4.8371515,4.4919662,-0.4979970914219694,0.11878338,0.33316635316418064,False,
RPL13A,8,19,3.7436938,2.9765675,-1.106729340185579,0.11878338,0.33316635316418064,False,
TPM4,8,19,0.3483226,0.42944777,0.1170388804393773,0.13227391,0.33316635316418064,False,
TLN1,8,19,0.3206663,0.42583773,0.15173027486684332,0.14687702,0.3488329239189625,False,
HLA-DRB5,8,19,0.27259284,0.4018711,0.18650907947661033,0.17953357,0.36877165936134954,False,
ATP5L,8,19,1.2123936,0.6010538,-0.8819769945845584,0.17008004,0.36877165936134954,False,
HLA-DRB1,8,19,0.56859577,0.69043255,0.1757733204704758,0.16260982,0.36877165936134954,False,
S100A4,8,19,2.5365534,2.3278136,-0.30114781303620897,0.17953357,0.36877165936134954,False,
SLC39A10,8,19,0.16587001,0.23014641,0.09273123952739236,0.17953357,0.36877165936134954,True,0.35631461068987846
BCL2,8,19,0.34544933,0.5995005,0.3665183326378371,0.19765818,0.39531636238098145,False,
SLC39A14,8,19,0.0057425946,0.010287067,0.006556287682216035,0.20360835,0.39677524413817966,True,0.35631461068987846
CTSS,8,19,0.32309848,0.36504704,0.06051897501211373,0.21703771,0.41237164437770846,False,
MT-ND3,8,19,3.067388,3.4060335,0.48856212319563574,0.23767035,0.4405596677849932,False,
RPS20,8,19,2.4138684,1.7401514,-0.9719682065184044,0.25960204,0.45883151265077815,False,
RPS17,8,19,2.6713169,1.9074532,-1.1020223470141146,0.25960204,0.45883151265077815,False,
SAT1,8,19,0.7539223,0.65705156,-0.13975490790895237,0.28281838,0.48850446939468384,False,
CCL4,8,19,0.38050753,0.30721986,-0.10573175207141379,0.33318153,0.5615447915118673,False,
GLTSCR2,8,19,0.9531508,0.58471185,-0.531545059195174,0.33988237,0.5615447915118673,False,
RPS26,8,19,2.7830405,2.458123,-0.4687569450875764,0.36032206,0.5705099254846573,False,
RPL7,8,19,3.0029287,2.4511921,-0.795987646953639,0.36032206,0.5705099254846573,False,
DUSP2,8,19,0.35222048,0.5134206,0.23256259372465324,0.38873282,0.579288125038147,False,
CD74,8,19,1.9178386,2.081127,0.23557529981114247,0.38873282,0.579288125038147,False,
SLC30A1,8,19,0.018895207,0.024157455,0.007591819408121283,0.38066277,0.579288125038147,True,0.5921420852343241
MT-CO1,8,19,4.0424824,4.1349382,0.13338561642557367,0.4814603,0.6776107969107451,False,
MT-ND2,8,19,2.7491145,2.596125,-0.22071737463780272,0.4814603,0.6776107969107451,False,
HLA-DPB1,8,19,0.85575235,0.8734656,0.025554816100379303,0.4814603,0.6776107969107451,False,
TUBA4A,8,19,0.4686307,0.5173574,0.07029777955318488,0.54911566,0.7452283927372524,False,
TRAC,8,19,1.4217248,1.3230324,-0.14238306078811236,0.54911566,0.7452283927372524,False,
CD8A,8,19,0.33175573,0.37465182,0.06188597911249677,0.5845352,0.7659426516500012,False,
JUN,8,19,0.29576626,0.40253744,0.15403823904575947,0.5845352,0.7659426516500012,False,
MT-CO2,8,19,3.6935017,3.9377525,0.35237938093642934,0.6209547,0.7998738410109181,False,
SEPT7,8,19,0.3833845,0.31016687,-0.1056307122640319,0.63322055,0.8020793676376342,False,
SLC39A7,8,19,0.058988154,0.06488222,0.008503338206609848,0.65826875,0.820138114397643,True,0.9040604531764984
NEAT1,8,19,0.92834127,0.8481853,-0.11564061849219993,0.69643414,0.8536934621872441,False,
CST7,8,19,0.8639896,0.89403754,0.04335003296780498,0.7353319,0.8597726748539851,False,
MT2A,8,19,0.64486,0.5887907,-0.08089092194609143,0.7353319,0.8597726748539851,True,0.9040604531764984
HOPX,8,19,0.40805802,0.38904613,-0.027428352103216026,0.7353319,0.8597726748539851,False,
IFITM3,8,19,0.21905702,0.21744537,-0.0023251194483397413,0.77490896,0.8790012082057213,False,
MT1F,8,19,0.14997776,0.13102338,-0.02734539197200608,0.77490896,0.8790012082057213,True,0.9040604531764984
HLA-DQA1,8,19,0.3040223,0.2677568,-0.05232008909319377,0.8150364,0.8848966802869525,False,
TAGLN2,8,19,0.64186656,0.6510518,0.0132515212229557,0.8150364,0.8848966802869525,False,
CMC1,8,19,0.50882924,0.47744092,-0.04528376289844368,0.8150364,0.8848966802869525,False,
IRF7,8,19,0.22715825,0.2295825,0.0034974606857774344,0.85565305,0.8908168714340419,False,
