gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
LINC01934,8,18,0.07500777,0.2861373,0.3045955492380557,0.019033454,0.2149761857634241,False,
IFNG-AS1,8,18,0.13717268,0.32538894,0.2715386564265585,0.034453038,0.2149761857634241,False,
LIMS1,8,18,0.2628562,0.38250187,0.17261223635195466,0.00923269,0.2149761857634241,False,
ZC3H12B,8,18,0.066070944,0.20043305,0.19384353759663112,0.023599735,0.2149761857634241,False,
FHIT,8,18,0.13596839,0.27700332,0.20347039546566498,0.035183307,0.2149761857634241,False,
MTSS1,8,18,0.0798395,0.16516538,0.1230992265883123,0.02590453,0.2149761857634241,False,
FCHSD2,8,18,0.12870444,0.4077164,0.4025291779627226,0.0132883135,0.2149761857634241,False,
PLCB1,8,18,0.087751,0.29493275,0.2989000857807575,0.0180224,0.2149761857634241,False,
PRKCA,8,18,0.109659426,0.36251307,0.3647906809185948,0.0132883135,0.2149761857634241,False,
SLC39A11,8,18,0.04729584,0.16735204,0.1732044801080321,0.030250756,0.2149761857634241,True,0.1411701949934165
SLC39A9,8,18,0.042313367,0.11458218,0.10426185935015209,0.02624264,0.2149761857634241,True,0.1411701949934165
TALAM1,8,18,0.32364377,0.9770445,0.9426580632451103,0.03433573,0.2149761857634241,False,
TEX14,8,18,0.110133946,0.3704994,0.3756279526844011,0.023095392,0.2149761857634241,False,
SLC30A9,8,18,0.06520962,0.17105027,0.15269577471987145,0.013411737,0.2149761857634241,True,0.1411701949934165
TOX,8,18,0.0877562,0.26539156,0.2562736483186264,0.011103039,0.2149761857634241,False,
WWOX,8,18,0.14102978,0.4608068,0.4613407092170704,0.018732937,0.2149761857634241,False,
C14orf2,8,18,0.8343743,0.3195836,-0.7426860098763084,0.036380585,0.2149761857634241,False,
BCL2,8,18,0.22424728,0.5084778,0.41005797647821834,0.035183307,0.2149761857634241,False,
AOAH,8,18,0.20329191,0.5070068,0.4381680248137918,0.030250756,0.2149761857634241,False,
ARHGAP26,8,18,0.12075232,0.37739477,0.3702568055109674,0.022075498,0.2149761857634241,False,
ATP5L,8,18,1.3189371,0.54311043,-1.1192812359848248,0.022436915,0.2149761857634241,False,
BACH2,8,18,0.16037744,0.43301466,0.3933323627121712,0.00501552,0.2149761857634241,False,
SLC39A14,8,18,0.0040696193,0.010449743,0.009204572608635442,0.04061174,0.22065737439940372,True,0.1421410907059908
VCL,8,18,0.11198503,0.20820454,0.13881540968295156,0.040736746,0.22065737439940372,False,
RPL31,8,18,3.2460425,2.7480106,-0.7185080868787368,0.046987887,0.24433701485395432,False,
ODC1,8,18,0.11502889,0.1988928,0.12099005285596218,0.055238653,0.2750121733104741,False,
