gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
ACTB,7,3.6744869,3.2602925,-0.5975561281799407,0.015625,0.09895833333333334,False,
INPP4B,7,0.29534766,0.46931413,0.25098055977085315,0.015625,0.09895833333333334,False,
FGFBP2,7,0.29501146,0.03856347,-0.36997625881174745,0.015625,0.09895833333333334,False,
CTSS,7,0.5823447,0.31934732,-0.3794250286458129,0.015625,0.09895833333333334,False,
FTL,7,2.7506232,3.0655186,0.4542980196642384,0.015625,0.09895833333333334,False,
RPS20,7,2.812344,2.2848608,-0.7609974326702988,0.015625,0.09895833333333334,False,
CMC1,7,0.52649057,0.4335773,-0.13404551385693428,0.015625,0.09895833333333334,False,
CLIC3,7,0.3691658,0.21056724,-0.22880937333921145,0.015625,0.09895833333333334,False,
CD8B,7,0.5040048,0.35486308,-0.21516598964626485,0.015625,0.09895833333333334,False,
RUFY1,7,0.084153466,0.054917343,-0.042178809617597894,0.015625,0.09895833333333334,False,
CD79A,7,0.2694734,0.02090216,-0.35861250515598736,0.015625,0.09895833333333334,False,
MT-CO3,7,3.9282308,3.1861482,-1.0705988809270184,0.015625,0.09895833333333334,False,
NCOA4,7,0.25595436,0.15073216,-0.15180353947611086,0.015625,0.09895833333333334,False,
TRDC,7,0.22813247,0.08628673,-0.20464013546550835,0.015625,0.09895833333333334,False,
ADGRG1,7,0.120396815,0.022378955,-0.1414098754603738,0.015625,0.09895833333333334,False,
SPON2,7,0.23328063,0.055334117,-0.2567225445352097,0.015625,0.09895833333333334,False,
GZMH,7,0.41044733,0.17718546,-0.336525740708088,0.015625,0.09895833333333334,False,
KLRC1,7,0.2477441,0.075791396,-0.24807529984549043,0.015625,0.09895833333333334,False,
TAGLN2,7,1.2745724,0.66272163,-0.8827140262348309,0.015625,0.09895833333333334,False,
MAP3K7CL,7,0.1057974,0.0184568,-0.12600585162596623,0.015625,0.09895833333333334,False,
KLRF1,7,0.2106866,0.018853446,-0.27675673904072423,0.015625,0.09895833333333334,False,
GZMB,7,0.5618825,0.09452033,-0.6742610783953568,0.015625,0.09895833333333334,False,
KLRD1,7,0.50892824,0.16203795,-0.5004568732859347,0.015625,0.09895833333333334,False,
TUBA1C,7,0.15654394,0.12566845,-0.04454391503226324,0.015625,0.09895833333333334,False,
GZMA,7,0.945419,0.7610666,-0.26596429025329904,0.03125,0.13194444444444445,False,
HBB,7,0.93359387,0.16503048,-1.10880259104173,0.03125,0.13194444444444445,False,
MT-ND2,7,3.2595365,2.76249,-0.7170864782867048,0.03125,0.13194444444444445,False,
FERMT3,7,0.3827452,0.23156366,-0.2181088707765038,0.03125,0.13194444444444445,False,
FHIT,7,0.14398076,0.081812754,-0.0896894683729073,0.03125,0.13194444444444445,False,
MT-CO2,7,4.1803765,3.7916873,-0.5607600960625411,0.03125,0.13194444444444445,False,
PRF1,7,0.5044487,0.19887221,-0.44085370588966544,0.03125,0.13194444444444445,False,
SLC39A6,7,0.08880717,0.050644986,-0.05505639756191513,0.03125,0.13194444444444445,True,0.4375
TMSB4X,7,4.495427,4.7754874,0.40404159339441015,0.03125,0.13194444444444445,False,
BCL2,7,0.24358828,0.3729333,0.18660541125892488,0.03125,0.13194444444444445,False,
S100A6,7,2.0280612,2.3604004,0.4794642409649931,0.03125,0.13194444444444445,False,
HOPX,7,0.5163528,0.40523487,-0.16030924244417008,0.03125,0.13194444444444445,False,
FCGR3A,7,0.20822959,0.05091424,-0.22695806609399874,0.046875,0.178125,False,
FTH1,7,2.7022579,3.0664902,0.5254761354115273,0.046875,0.178125,False,
RNF11,7,0.15146875,0.08375818,-0.09768570498453247,0.046875,0.178125,False,
C1orf56,7,0.17271277,0.31947896,0.21173884836685894,0.046875,0.178125,False,
PPBP,7,0.17180593,0.0,-0.24786356770444695,0.0625,0.23170731707317072,False,
SLC39A7,7,0.10535709,0.061454564,-0.06333795339132171,0.078125,0.24739583333333334,True,0.5104166666666667
MT-ND3,7,3.595454,3.185166,-0.5919206006764682,0.078125,0.24739583333333334,False,
NHSL2,7,0.5725336,0.8556045,0.40838501524195037,0.078125,0.24739583333333334,False,
TRGC2,7,0.16949788,0.122778274,-0.06740213990735482,0.078125,0.24739583333333334,False,
XCL2,7,0.1537524,0.09973054,-0.07793707692185999,0.078125,0.24739583333333334,False,
RHOB,7,0.04469314,0.13668779,0.13272021554938546,0.078125,0.24739583333333334,False,
MTSS1,7,0.091688156,0.054597925,-0.05350989194415188,0.078125,0.24739583333333334,False,
AFF3,7,0.10174966,0.030239975,-0.10316666308054204,0.09375,0.29081632653061223,False,
SLC39A11,7,0.052610643,0.032275055,-0.029338052832854494,0.109375,0.296875,True,0.5104166666666667
NELL2,7,0.23030002,0.12718396,-0.1487650359919922,0.109375,0.296875,False,
RPS17,7,2.6917274,2.523966,-0.2420284328368168,0.109375,0.296875,False,
MT-CO1,7,4.221347,4.0879807,-0.19240662254867233,0.109375,0.296875,False,
TRAC,7,1.0257099,1.3430136,0.45777258515961966,0.109375,0.296875,False,
ITM2C,7,0.3318102,0.2053145,-0.18249472493366473,0.109375,0.296875,False,
LST1,7,0.18371715,0.2969904,0.16341875326526373,0.109375,0.296875,False,
ATP5L,7,1.2171612,1.1092274,-0.15571549984829902,0.125,0.3064516129032258,False,
TRGV9,7,0.12960747,0.034161147,-0.13769993020945537,0.125,0.3064516129032258,False,
SEPT7,7,0.5587355,0.3431986,-0.31095400581443006,0.125,0.3064516129032258,False,
H3F3A,7,1.3446852,1.24173,-0.14853298840031554,0.125,0.3064516129032258,False,
GNB2L1,7,1.6840359,1.8327118,0.21449401043368113,0.125,0.3064516129032258,False,
C14orf2,7,0.77586544,0.59629947,-0.259058928847181,0.125,0.3064516129032258,False,
CD74,7,2.3813732,1.943744,-0.6313655095824567,0.15625,0.3492647058823529,False,
LGALS1,7,0.7564968,0.9238073,0.24137808044257908,0.15625,0.3492647058823529,False,
IFITM3,7,0.30250844,0.24401078,-0.08439429453549228,0.15625,0.3492647058823529,False,
ANK3,7,0.13348047,0.15968506,0.037805226312662595,0.15625,0.3492647058823529,False,
CD8A,7,0.4731638,0.3090124,-0.2368204112077265,0.15625,0.3492647058823529,False,
IRF7,7,0.31730455,0.22537744,-0.1326227873776717,0.15625,0.3492647058823529,False,
TEX14,7,0.12637016,0.027042493,-0.14329953483672891,0.1875,0.41304347826086957,False,
HLA-DRB5,7,0.35555097,0.27354687,-0.11830690852418878,0.21875,0.415625,False,
CST3,7,0.37614784,0.49260134,0.16800688492715038,0.21875,0.415625,False,
RPL7,7,3.083067,2.894031,-0.2727211446403971,0.21875,0.415625,False,
FCHSD2,7,0.1469578,0.114949904,-0.04617763197738745,0.21875,0.415625,False,
CD79B,7,0.23809375,0.19269896,-0.06549084296373803,0.21875,0.415625,False,
LYN,7,0.13809289,0.072405875,-0.09476633173288333,0.21875,0.415625,False,
YWHAH,7,0.14719746,0.18754093,0.0582033361074028,0.21875,0.415625,False,
PDE4D,7,0.14760195,0.1096319,-0.05477919377547132,0.21875,0.415625,False,
WWOX,7,0.15759148,0.123572595,-0.04907887180828625,0.21875,0.415625,False,
VCL,7,0.1288763,0.10646205,-0.03233693043932281,0.21875,0.415625,False,
TLN1,7,0.4724901,0.34175202,-0.1886151790190763,0.21875,0.415625,False,
ENSG00000282885,7,0.101538196,0.13179316,0.04364868084102824,0.25,0.44705882352941173,False,
LINC02446,7,0.11472641,0.03168406,-0.11980479142187841,0.25,0.44705882352941173,False,
LINC01934,7,0.085753545,0.13139927,0.06585286644380424,0.25,0.44705882352941173,False,
TALAM1,7,0.36957994,0.29939398,-0.10125693547861438,0.25,0.44705882352941173,False,
TRDV2,7,0.119379625,0.017279891,-0.14729877640422995,0.25,0.44705882352941173,False,
CD151,7,0.072122954,0.11117964,0.056346890880495576,0.296875,0.5070224719101124,False,
FCER1G,7,0.47310662,0.3411091,-0.19043217572544185,0.296875,0.5070224719101124,False,
SLC39A10,7,0.13682784,0.17228594,0.05115522910106861,0.296875,0.5070224719101124,True,0.875
LIMS1,7,0.2749711,0.36902884,0.13569663329654266,0.296875,0.5070224719101124,False,
EGR1,7,0.05223254,0.16486244,0.16249059514530417,0.3125,0.5219780219780219,False,
PLCB1,7,0.10219487,0.08432808,-0.025776329754690602,0.3125,0.5219780219780219,False,
S100A4,7,2.4707057,2.5668595,0.138720518255338,0.375,0.5643564356435643,False,
ATP5E,7,1.4623729,1.5401376,0.11219081849854286,0.375,0.5643564356435643,False,
RP11-347P5.1,7,0.08166917,0.1461084,0.09296616782847096,0.375,0.5643564356435643,False,
RGS1,7,0.11150271,0.15892896,0.0684216208149225,0.375,0.5643564356435643,False,
HLA-DRB1,7,0.7767307,0.58704525,-0.2736582781049485,0.375,0.5643564356435643,False,
ZC3H12B,7,0.074804775,0.057744797,-0.024612345799193275,0.375,0.5643564356435643,False,
MS4A6A,7,0.13896555,0.16859165,0.042741429362064216,0.375,0.5643564356435643,False,
NT5C3A,7,0.2326648,0.1956563,-0.05339197096469623,0.375,0.5643564356435643,False,
HLA-DPB1,7,1.0198205,0.8435561,-0.25429569734888463,0.375,0.5643564356435643,False,
MTRNR2L1,7,0.38893917,0.4996501,0.15972209367412443,0.375,0.5643564356435643,False,
SLC39A9,7,0.04783555,0.038331624,-0.013711268469916863,0.46875,0.6597222222222222,True,0.875
FOS,7,0.49359098,0.19111882,-0.43637510567854704,0.46875,0.6597222222222222,False,
PRKCA,7,0.10862795,0.09764434,-0.015846008498209316,0.46875,0.6597222222222222,False,
HLA-DPA1,7,0.9280252,0.831209,-0.1396762258461826,0.46875,0.6597222222222222,False,
RPS26,7,2.6051028,2.7073913,0.14757108943403985,0.46875,0.6597222222222222,False,
AIF1,7,0.21831338,0.29858246,0.11580380853003738,0.46875,0.6597222222222222,False,
TYROBP,7,0.68055403,0.5463025,-0.19368402368795584,0.46875,0.6597222222222222,False,
IGLV2-14,7,0.096963815,0.090850614,-0.008819485314558406,0.5,0.6972477064220184,False,
MT1X,7,0.29892963,0.3492659,0.07261988930513452,0.578125,0.7447033898305085,True,0.875
CCL4,7,0.2902886,0.33042878,0.05791004119418764,0.578125,0.7447033898305085,False,
SLC39A1,7,0.08242012,0.06712596,-0.022064804413167365,0.578125,0.7447033898305085,True,0.875
SLC30A9,7,0.07477214,0.059958313,-0.021371837942720556,0.578125,0.7447033898305085,True,0.875
RPL13A,7,3.7956731,3.576925,-0.31558678847204696,0.578125,0.7447033898305085,False,
BACH2,7,0.17801294,0.1501336,-0.04022138907680284,0.578125,0.7447033898305085,False,
CTSA,7,0.22179587,0.19410363,-0.03995146230627366,0.578125,0.7447033898305085,False,
HLA-DQB1,7,0.43759555,0.3545738,-0.11977508141894186,0.578125,0.7447033898305085,False,
DUSP2,7,0.30200776,0.3600094,0.08367867472525213,0.578125,0.7447033898305085,False,
H3F3B,7,1.2704271,1.3481266,0.1120967439885209,0.625,0.7723577235772358,False,
SLC39A14,7,0.004549415,0.0061155087,0.002259395875228181,0.625,0.7723577235772358,True,0.875
AES,7,0.47330257,0.4306081,-0.06159511345422504,0.625,0.7723577235772358,False,
GLTSCR2,7,0.7399065,0.8064614,0.09601842992465866,0.625,0.7723577235772358,False,
MTRNR2L8,7,0.9107383,0.85822785,-0.07575655188723314,0.625,0.7723577235772358,False,
MT1E,7,0.08765947,0.077465914,-0.014706193479616051,0.6875,0.81640625,True,0.875
SIPA1L1,7,0.111023605,0.12373443,0.018337843628729193,0.6875,0.81640625,False,
GZMK,7,0.7675237,0.69723076,-0.10141128990776374,0.6875,0.81640625,False,
KLRB1,7,0.78529817,0.8465523,0.088371049371393,0.6875,0.81640625,False,
SLC30A1,7,0.01422598,0.019263348,0.0072673848861842735,0.6875,0.81640625,True,0.875
ENSG00000289901,7,0.43808243,0.40150115,-0.05277562813966664,0.75,0.8837209302325582,False,
JUN,7,0.5809712,0.25641993,-0.4682284853971377,0.8125,0.9148148148148147,False,
TPM4,7,0.34426573,0.35987073,0.02251325992420782,0.8125,0.9148148148148147,False,
HLA-DQA1,7,0.32721132,0.3036888,-0.033935831646562976,0.8125,0.9148148148148147,False,
TUBA4A,7,0.45909423,0.44292888,-0.02332166437458845,0.8125,0.9148148148148147,False,
ODC1,7,0.099054776,0.1031188,0.005863146541889441,0.8125,0.9148148148148147,False,
SLC39A4,7,0.055451673,0.060086288,0.006686336125786434,0.8125,0.9148148148148147,True,0.9375
HIST1H4C,7,0.30773893,0.29407296,-0.01971583312093609,0.875,0.9708029197080292,False,
RARRES3,7,0.44644934,0.42126969,-0.03632656247620688,0.875,0.9708029197080292,False,
GPX1,7,0.7640397,0.8001897,0.05215339490884499,0.9375,0.9895833333333334,False,
ARHGAP26,7,0.133195,0.13173576,-0.0021052396292116408,0.9375,0.9895833333333334,False,
MEF2C,7,0.20278619,0.19731629,-0.007891402437008617,0.9375,0.9895833333333334,False,
MT1F,7,0.14573412,0.14559661,-0.00019838198777024976,0.9375,0.9895833333333334,True,0.9375
HSPA1A,7,0.09449736,0.09333177,-0.0016815926155581483,0.9375,0.9895833333333334,False,
MT2A,7,0.5611418,0.5737535,0.01819481855670541,0.9375,0.9895833333333334,True,0.9375
NEAT1,7,0.9069055,0.9143521,0.010743240251447067,0.9375,0.9895833333333334,False,
TOX,7,0.09910674,0.10034282,0.0017832881067964628,1.0,1.0,False,
SAT1,7,0.75555795,0.75365967,-0.002738651732339365,1.0,1.0,False,
ILK,7,0.21921626,0.22221705,0.00432923327884405,1.0,1.0,False,
IFNG-AS1,7,0.15487312,0.16178298,0.009968823872443197,1.0,1.0,False,
CST7,7,0.8276438,0.8273138,-0.0004761339689136857,1.0,1.0,False,
RPL31,7,3.1655278,3.1078312,-0.08323857112169421,1.0,1.0,False,
SLC26A3,7,0.09891784,0.2373716,0.199746541117858,1.0,1.0,False,
FYB,7,0.504664,0.50765276,0.004311863031106907,1.0,1.0,False,
