gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
KLRD1,18,0.537252,0.14609356,-0.5643223727098624,7.6293945e-06,0.00011860240589488637,False,
TAGLN2,18,1.217567,0.6537474,-0.8134197224537678,7.6293945e-06,0.00011860240589488637,False,
KLRF1,18,0.2107041,0.028969403,-0.262187744720834,7.6293945e-06,0.00011860240589488637,False,
S100A9,18,0.21805882,0.013296538,-0.29540952589884595,7.6293945e-06,0.00011860240589488637,False,
TRDC,18,0.2404762,0.09613734,-0.20823698062565313,7.6293945e-06,0.00011860240589488637,False,
ST8SIA1,18,0.0929346,0.19537866,0.1477955375423315,7.6293945e-06,0.00011860240589488637,False,
SPON2,18,0.26209384,0.088068806,-0.2510650462480895,7.6293945e-06,0.00011860240589488637,False,
FCGR3A,18,0.26371917,0.026291462,-0.34253578193164563,7.6293945e-06,0.00011860240589488637,False,
FGFBP2,18,0.34361243,0.03805612,-0.4408245548303442,7.6293945e-06,0.00011860240589488637,False,
GZMB,18,0.50249135,0.08023192,-0.609191614424064,7.6293945e-06,0.00011860240589488637,False,
CTSS,18,0.5731782,0.3733136,-0.28834361868814745,7.6293945e-06,0.00011860240589488637,False,
S100A8,18,0.1683867,0.008410586,-0.23079674035908798,1.5258789e-05,0.00018637520926339287,False,
MTSS1,18,0.1665647,0.07427386,-0.13314753869220114,1.5258789e-05,0.00018637520926339287,False,
ADGRG1,18,0.1409594,0.01786406,-0.1775890273069599,1.5258789e-05,0.00018637520926339287,False,
PDLIM1,18,0.12225638,0.06525226,-0.08223956689849486,2.2888184e-05,0.00026092529296875,False,
HOPX,18,0.5861634,0.39477983,-0.2761081279708265,3.8146973e-05,0.00034332275390625,False,
GNG7,18,0.14694774,0.08296959,-0.09230096043276496,3.8146973e-05,0.00034332275390625,False,
CD79B,18,0.24941884,0.15737288,-0.1327942540805819,3.8146973e-05,0.00034332275390625,False,
PRF1,18,0.6241039,0.30869752,-0.4550352232971618,3.8146973e-05,0.00034332275390625,False,
