gene,tissue,n,rho,pvalue,padj
MT1E,CSF,18,0.15622766644504452,0.5358811107267446,0.7502602754149089
MT1E,PB,18,0.45120747941086076,0.060181102748622636,0.561690292320478
MT1F,CSF,18,0.4007579269677228,0.09932410393563657,0.5875759476264697
MT1F,PB,18,0.21515912212647526,0.39121469727426916,0.7502602754149089
MT1X,CSF,18,0.07262757737746214,0.7745797921674831,0.903676424195397
MT1X,PB,18,0.145180184347476,0.5654352333464656,0.7502602754149089
MT2A,CSF,18,-0.040232542863774,0.8740617971944914,0.974649212695519
MT2A,PB,18,0.4679188675371889,0.05019940636127603,0.561690292320478
SLC39A1,CSF,18,-0.1405526497448728,0.5780207775216475,0.7502602754149089
SLC39A1,PB,18,-0.07415678481058129,0.7699531580269475,0.903676424195397
SLC39A4,CSF,18,-0.18757769984538786,0.45606247695699964,0.7502602754149089
SLC39A4,PB,18,-0.03028939097896982,0.9050314117886962,0.974649212695519
SLC39A6,CSF,18,-0.1363726452914937,0.5894902163974284,0.7502602754149089
SLC39A6,PB,18,0.39480654448450314,0.10492427636186959,0.5875759476264697
SLC39A7,CSF,18,-0.371497895794069,0.12903683215475606,0.6021718833888616
SLC39A7,PB,18,0.2005366575159381,0.42494024696332106,0.7502602754149089
SLC39A9,CSF,18,0.4550979848616513,0.057734993043352036,0.561690292320478
SLC39A9,PB,18,0.2287371249791169,0.36125998339498355,0.7502602754149089
SLC39A10,CSF,18,0.010972511690120182,0.9655330656697505,0.9803110481572919
SLC39A10,PB,18,0.006266770547373066,0.9803110481572919,0.9803110481572919
SLC39A11,CSF,18,0.20429771765890434,0.4161227810274852,0.7502602754149089
SLC39A11,PB,18,0.284093598147579,0.25324028002031634,0.7502602754149089
SLC39A14,CSF,18,-0.18453804037137764,0.46352589909339725,0.7502602754149089
SLC39A14,PB,18,-0.16606941950538626,0.510160347957697,0.7502602754149089
SLC30A1,CSF,18,-0.2126577265656626,0.3968772693185143,0.7502602754149089
SLC30A1,PB,18,0.1806918841159234,0.4730567927120881,0.7502602754149089
SLC30A9,CSF,18,0.28894280783983145,0.24487497330624122,0.7502602754149089
SLC30A9,PB,18,0.28513805990547453,0.2514235126201741,0.7502602754149089
