dropped_patient,n_remaining,rho,pvalue,gene,tissue
10,17,0.7159359982784074,0.0012283850211637227,SLC39A7,PB
16,17,0.7221399497366258,0.0010619716372203076,SLC39A7,PB
22,17,0.8412558177344197,2.318914885052333e-05,SLC39A7,PB
24,17,0.7258623206115569,0.0009713900219720639,SLC39A7,PB
25,17,0.7666059399120224,0.0003309690588381707,SLC39A7,PB
27,17,0.6922984174649766,0.0020715879806024007,SLC39A7,PB
28,17,0.6849162409873152,0.0024156173265560263,SLC39A7,PB
29,17,0.7084912565285452,0.001455873095885414,SLC39A7,PB
31,17,0.7081406496807894,0.0014673863857592132,SLC39A7,PB
6,17,0.7159359982784074,0.0012283850211637227,SLC39A7,PB
7,17,0.7145906741990904,0.0012671662129146908,SLC39A7,PB
8,17,0.7195445090288934,0.0011291670909546196,SLC39A7,PB
9,17,0.7259908950631958,0.0009683791842345331,SLC39A7,PB
MS19270,17,0.6775086263860303,0.0028064062206113907,SLC39A7,PB
MS49131,17,0.7081406496807894,0.0014673863857592132,SLC39A7,PB
MS60249,17,0.6687859671959472,0.0033311265024089654,SLC39A7,PB
MS71658,17,0.6650772754431674,0.0035771359424583344,SLC39A7,PB
MS74594,17,0.6725083380708783,0.0030982263431223425,SLC39A7,PB
