gene,tissue,n,rho,pvalue,padj
MT1E,CSF,19,0.24513440123468205,0.31176881509235255,0.9230845233041878
MT1E,PB,18,0.30586567514450025,0.21706686265503206,0.9230845233041878
MT1F,CSF,19,-0.06394810466991707,0.794797832103846,0.9230845233041878
MT1F,PB,18,0.07620544124760587,0.7637665164441498,0.9230845233041878
MT1X,CSF,19,-0.1270080412194186,0.6043624798941586,0.9230845233041878
MT1X,PB,18,-0.1868599175797459,0.45781935712306376,0.9230845233041878
MT2A,CSF,19,0.031974052334958536,0.8966120340272297,0.956534308612674
MT2A,PB,18,0.08351281232614342,0.7418123386526994,0.9230845233041878
SLC39A1,CSF,19,-0.0017763362408310297,0.9942415810676698,0.9942415810676698
SLC39A1,PB,18,0.11900575756475437,0.6381200815868784,0.9230845233041878
SLC39A4,CSF,19,0.09769849324570663,0.6907031570320553,0.9230845233041878
SLC39A4,PB,18,0.11169838648621683,0.6590248504939287,0.9230845233041878
SLC39A6,CSF,19,-0.06128360030867051,0.8031847100191889,0.9230845233041878
SLC39A6,PB,18,0.12526921848921513,0.6204054249353196,0.9230845233041878
SLC39A7,CSF,19,-0.023980539251218902,0.9223723690193641,0.956534308612674
SLC39A7,PB,18,0.1137862067943704,0.6530266442247765,0.9230845233041878
SLC39A9,CSF,19,0.32418136395166286,0.17572085933853654,0.9230845233041878
SLC39A9,PB,18,0.2275724135887408,0.36377719697593003,0.9230845233041878
SLC39A10,CSF,19,0.06217176842908604,0.8003867480103442,0.9230845233041878
SLC39A10,PB,18,-0.0563711483201468,0.8241826100930248,0.9230845233041878
SLC39A11,CSF,19,0.25046340995717514,0.3010285272705101,0.9230845233041878
SLC39A11,PB,18,0.28603138221704116,0.2498761687140383,0.9230845233041878
SLC39A14,CSF,19,0.13530552861578846,0.5807470932017882,0.9230845233041878
SLC39A14,PB,18,0.22176714974415856,0.3764705773719677,0.9230845233041878
SLC30A1,CSF,19,-0.4014519904278127,0.08845230274461892,0.9230845233041878
SLC30A1,PB,18,0.1576304332655957,0.5321794237977711,0.9230845233041878
SLC30A9,CSF,19,0.3170760189883388,0.18593104469327673,0.9230845233041878
SLC30A9,PB,18,0.18059645665528512,0.47329449479658875,0.9230845233041878
