gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
YWHAH,8,0.2600917,0.17740628,-0.11928983236953244,0.0078125,0.018621575342465755,False,
FGL2,8,0.20354417,0.07742729,-0.18194818556705408,0.0078125,0.018621575342465755,False,
FGD4,8,0.12254162,0.03285107,-0.12939611337567775,0.0078125,0.018621575342465755,False,
MT-CO3,8,2.9575138,3.1369739,0.25890612226188936,0.0078125,0.018621575342465755,False,
MT-ND2,8,2.540681,2.751605,0.3042992231306191,0.0078125,0.018621575342465755,False,
NAMPT,8,0.15353115,0.08943812,-0.09246669796361832,0.0078125,0.018621575342465755,False,
FCGBP,8,0.18861787,0.045954477,-0.20581976446777636,0.0078125,0.018621575342465755,False,
FCER1G,8,0.8025748,0.33531106,-0.6741191067170695,0.0078125,0.018621575342465755,False,
F13A1,8,0.14703375,0.040696092,-0.1534128133869812,0.0078125,0.018621575342465755,False,
NCOA4,8,0.18646926,0.14760679,-0.056066688146577344,0.0078125,0.018621575342465755,False,
NT5C3A,8,0.15211445,0.19280729,0.05870735276358762,0.0078125,0.018621575342465755,False,
PLAUR,8,0.20182297,0.08271833,-0.17183167159318244,0.0078125,0.018621575342465755,False,
PLXDC2,8,0.2677369,0.08149797,-0.26868600169452844,0.0078125,0.018621575342465755,False,
RAB31,8,0.23485895,0.08735703,-0.21280028229232148,0.0078125,0.018621575342465755,False,
RHOB,8,0.3373262,0.14303221,-0.2803069769024852,0.0078125,0.018621575342465755,False,
CSTA,8,0.29563487,0.07740544,-0.31483851345597424,0.0078125,0.018621575342465755,False,
MT-CO2,8,3.5090814,3.6966214,0.2705631063373706,0.0078125,0.018621575342465755,False,
FTH1,8,3.5948038,3.0700946,-0.7569953963847212,0.0078125,0.018621575342465755,False,
FTL,8,3.6467006,3.0878575,-0.8062402207021744,0.0078125,0.018621575342465755,False,
MT-CO1,8,3.7935202,4.0461164,0.3644191983927311,0.0078125,0.018621575342465755,False,
IFI30,8,0.31726652,0.13505238,-0.2628794374447728,0.0078125,0.018621575342465755,False,
HLA-DRB1,8,1.1145494,0.59971136,-0.7427542869887009,0.0078125,0.018621575342465755,False,
HLA-DQB1,8,0.77180153,0.38905627,-0.5521846971252197,0.0078125,0.018621575342465755,False,
ITM2C,8,0.1403239,0.20523387,0.09364528432106548,0.0078125,0.018621575342465755,False,
LST1,8,0.70130706,0.30246598,-0.5754060526186924,0.0078125,0.018621575342465755,False,
HLA-DPB1,8,1.6445625,0.8903941,-1.0880349980194424,0.0078125,0.018621575342465755,False,
HLA-DPA1,8,1.4942596,0.8559839,-0.9208371624776134,0.0078125,0.018621575342465755,False,
HOPX,8,0.25942498,0.41245782,0.2207797183487405,0.0078125,0.018621575342465755,False,
HAMP,8,0.2055117,0.05163808,-0.22199271198527587,0.0078125,0.018621575342465755,False,
MNDA,8,0.2327682,0.06954913,-0.2354753348953285,0.0078125,0.018621575342465755,False,
GZMK,8,0.4414562,0.739066,0.42936019132382935,0.0078125,0.018621575342465755,False,
MS4A6A,8,0.47817785,0.17810601,-0.43291214901209896,0.0078125,0.018621575342465755,False,
GZMA,8,0.49003762,0.808936,0.46007311108888604,0.0078125,0.018621575342465755,False,
GSN,8,0.19247928,0.086912334,-0.1523009133024061,0.0078125,0.018621575342465755,False,
GPX1,8,1.3984197,0.79178333,-0.8751913331034408,0.0078125,0.018621575342465755,False,
MSR1,8,0.2406791,0.07550149,-0.23830092385767898,0.0078125,0.018621575342465755,False,
MEF2C,8,0.45927507,0.19168624,-0.3860490694307821,0.0078125,0.018621575342465755,False,
CST3,8,1.2080939,0.4842012,-1.0443563921971641,0.0078125,0.018621575342465755,False,
CST7,8,0.6213639,0.8653323,0.35197204002786076,0.0078125,0.018621575342465755,False,
CMC1,8,0.39110363,0.5083136,0.16909824383386304,0.0078125,0.018621575342465755,False,
CSF3R,8,0.16215926,0.048672955,-0.16372612925801827,0.0078125,0.018621575342465755,False,
C1QC,8,0.60064924,0.15984923,-0.6359399901214312,0.0078125,0.018621575342465755,False,
C1QB,8,0.65061116,0.17180398,-0.6907727457437306,0.0078125,0.018621575342465755,False,
C1QA,8,0.6287166,0.17407897,-0.655903435263947,0.0078125,0.018621575342465755,False,
SPI1,8,0.19252485,0.06578683,-0.18284430116937475,0.0078125,0.018621575342465755,False,
TAGLN2,8,0.49987727,0.6454836,0.21006554316528925,0.0078125,0.018621575342465755,False,
TBXAS1,8,0.1407859,0.048832484,-0.13266074179893397,0.0078125,0.018621575342465755,False,
C5AR1,8,0.17700173,0.060296103,-0.16837062823372523,0.0078125,0.018621575342465755,False,
TRAC,8,0.97030437,1.4153275,0.6420327335022225,0.0078125,0.018621575342465755,False,
ARHGAP24,8,0.14459527,0.048409134,-0.13876725454070996,0.0078125,0.018621575342465755,False,
ARHGAP18,8,0.14222065,0.07146705,-0.10207586311744467,0.0078125,0.018621575342465755,False,
APOE,8,0.19213551,0.06798341,-0.17911362126011166,0.0078125,0.018621575342465755,False,
APOC1,8,0.35050976,0.09978713,-0.3617163190517712,0.0078125,0.018621575342465755,False,
