gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
GZMK,19,0.6935004,0.93327975,0.3459284836852162,3.8146973e-06,0.000106048583984375,False,
GZMA,19,0.7400473,1.010267,0.38984468353966156,3.8146973e-06,0.000106048583984375,False,
S100A4,19,2.1031442,2.285919,0.2636882718517806,3.8146973e-06,0.000106048583984375,False,
IFNG-AS1,19,0.2855897,0.40135935,0.16702030645047589,3.8146973e-06,0.000106048583984375,False,
HOPX,19,0.27353826,0.3946661,0.17475053964579468,3.8146973e-06,0.000106048583984375,False,
PRF1,19,0.24182716,0.309721,0.09795009606348701,7.6293945e-06,0.00013256072998046875,False,
CLIC3,19,0.13176195,0.22380465,0.13278954605551455,7.6293945e-06,0.00013256072998046875,False,
TSHZ2,19,0.22481592,0.15688796,-0.09799932609729649,7.6293945e-06,0.00013256072998046875,False,
MT1E,19,0.062799454,0.08965046,0.03873781298588185,1.1444092e-05,0.00017674763997395834,True,0.00016021728515625
LST1,19,0.24196959,0.13682024,-0.15169843657860232,1.9073486e-05,0.00024101950905539775,False,
SPI1,19,0.1659626,0.08780836,-0.11275273956349005,1.9073486e-05,0.00024101950905539775,False,
ITM2C,19,0.18401608,0.254745,0.10204027345763175,2.670288e-05,0.00028551541841947113,False,
AIF1,19,0.291957,0.15549171,-0.19687778451014093,2.670288e-05,0.00028551541841947113,False,
TUBA4A,19,0.428235,0.5039758,0.1092708970521941,3.8146973e-05,0.0003787449428013393,False,
S100A6,19,1.921853,2.0561974,0.1938180841643034,7.247925e-05,0.0005926244399126838,False,
TPM4,19,0.3668544,0.42286813,0.08081073503512665,7.247925e-05,0.0005926244399126838,False,
CST3,19,0.5219061,0.33218965,-0.27370295059851013,7.247925e-05,0.0005926244399126838,False,
TAGLN2,19,0.5662479,0.6470764,0.1166109446083679,9.536743e-05,0.0006025487726384944,False,
TLN1,19,0.37452927,0.43107826,0.08158293713750066,9.536743e-05,0.0006025487726384944,False,
RPS26,19,2.335216,2.4374952,0.14755767478727255,9.536743e-05,0.0006025487726384944,False,
AFF3,19,0.1631768,0.11287396,-0.07257166966939886,9.536743e-05,0.0006025487726384944,False,
CST7,19,0.75939214,0.9327753,0.25013904866018144,9.536743e-05,0.0006025487726384944,False,
ACTB,19,3.5041256,3.6273615,0.17779188084365258,0.00012588501,0.0006999206542968751,False,
MS4A6A,19,0.20254125,0.11400107,-0.12773647004593597,0.00012588501,0.0006999206542968751,False,
FOS,19,0.20267229,0.12564772,-0.11112295672150432,0.00012588501,0.0006999206542968751,False,
HLA-DQA1,19,0.4041533,0.27328563,-0.18880212416056416,0.00016403198,0.0008444609465422453,False,
CMC1,19,0.42888775,0.50927925,0.11598041321464214,0.00016403198,0.0008444609465422453,False,
MT1X,19,0.22940354,0.2680088,0.05569561407950947,0.00033569336,0.001666477748325893,True,0.0019582112630208335
SLC39A6,19,0.07496587,0.08627762,0.016319401493624874,0.0004196167,0.0017674763997395835,True,0.0019582112630208335
ST8SIA1,19,0.16149166,0.18716976,0.037045664935127,0.0004196167,0.0017674763997395835,False,
TRAC,19,1.1625527,1.3149618,0.21987981912810084,0.0004196167,0.0017674763997395835,False,
ZSWIM6,19,0.17755759,0.14152475,-0.05198440045654093,0.0004196167,0.0017674763997395835,False,
FCER1G,19,0.30571526,0.19971804,-0.15292166318286404,0.0004196167,0.0017674763997395835,False,
TYROBP,19,0.44941705,0.290778,-0.22886776144917936,0.0005226135,0.0021365670596852023,False,
GZMH,19,0.1410011,0.18461613,0.062923184982019,0.00064468384,0.002358185617547286,False,
TRGC2,19,0.123801455,0.1575343,0.048666210186456615,0.00064468384,0.002358185617547286,False,
MEF2C,19,0.24274544,0.1507644,-0.13270058802935575,0.00064468384,0.002358185617547286,False,
GPX1,19,0.75690806,0.6325443,-0.1794190087034656,0.00064468384,0.002358185617547286,False,
ILK,19,0.22558762,0.25457215,0.041815840232951935,0.00078964233,0.002613340105329241,False,
MT-CO1,19,4.085105,4.1546474,0.1003284871379315,0.00078964233,0.002613340105329241,False,
IFI30,19,0.21153708,0.13150188,-0.11546637856904456,0.00078964233,0.002613340105329241,False,
TOX,19,0.30602726,0.34477854,0.055906271328985055,0.00078964233,0.002613340105329241,False,
TMSB4X,19,4.361577,4.4719276,0.1592022761118916,0.0009651184,0.002981143527560764,False,
ODC1,19,0.1609236,0.18415841,0.033520751518705594,0.0009651184,0.002981143527560764,False,
FERMT3,19,0.25732598,0.3119565,0.07881517734150277,0.0009651184,0.002981143527560764,False,
MT1F,19,0.103340335,0.13247398,0.04203095828243427,0.0011711121,0.0035387951394786005,True,0.0040988922119140625
IRF7,19,0.19125678,0.23130035,0.05777067075349469,0.001411438,0.004174252773853059,False,
IFITM3,19,0.27661413,0.23146424,-0.06513752610537174,0.0020217896,0.005854765574137369,False,
LINC01934,19,0.35794473,0.4100188,0.07512700939374983,0.0023655759,0.006710511142844145,False,
CD8A,19,0.32047486,0.40340105,0.1196371943286126,0.0033416748,0.008445323597301137,False,
LIMS1,19,0.48213115,0.43928567,-0.061812972477205505,0.0033416748,0.008445323597301137,False,
LGALS1,19,0.6484872,0.75159895,0.1487588016208984,0.0033416748,0.008445323597301137,False,
JUN,19,0.36013514,0.4033431,0.06233592872281659,0.0033416748,0.008445323597301137,False,
YWHAH,19,0.33627665,0.2876819,-0.07010739475867976,0.0033416748,0.008445323597301137,False,
LYN,19,0.14527483,0.10005324,-0.06524096292095004,0.0033416748,0.008445323597301137,False,
PRKCA,19,0.326275,0.28316638,-0.06219258118332244,0.003917694,0.0095536750659608,False,
PLCB1,19,0.16279237,0.18608117,0.033598638161715086,0.003917694,0.0095536750659608,False,
NCOA4,19,0.18429174,0.21024764,0.037446449005131416,0.005329132,0.012771540674669988,False,
ENSG00000289901,19,0.83612996,0.87552404,0.05683364477810004,0.005771587,0.013597468001041876,False,
CD8B,19,0.34469607,0.41766933,0.10527814782976314,0.007144928,0.0165524164835612,False,
HLA-DQB1,19,0.4517493,0.35908824,-0.13368164156337128,0.008232117,0.018758429855596823,False,
HLA-DPB1,19,1.0146108,0.8711836,-0.2069217003075171,0.010826111,0.024271442044165828,False,
HLA-DPA1,19,0.9197172,0.79027206,-0.18674985518781828,0.012359619,0.027269635881696428,False,
HLA-DRB5,19,0.49148297,0.39819252,-0.1345896669642642,0.0140686035,0.03008516751802885,False,
MT2A,19,0.5493366,0.5947142,0.06546605596418242,0.0140686035,0.03008516751802885,True,0.03939208984375
CD74,19,2.21775,2.0877616,-0.18753366611912553,0.015972137,0.032175755155259285,False,
CTSA,19,0.1801767,0.20008513,0.028721790624692493,0.015972137,0.032175755155259285,False,
NELL2,19,0.24422579,0.2711436,0.03883417701494342,0.015972137,0.032175755155259285,False,
