gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
IGHM,8,0.84266394,0.36143064,-0.6942728936584278,0.0078125,0.07291666666666667,False,
IGHD,8,0.6030409,0.15060997,-0.6527198214181629,0.0078125,0.07291666666666667,False,
FCRL1,8,0.26396146,0.08839971,-0.25328207460036195,0.0078125,0.07291666666666667,False,
CFD,8,0.26095223,0.0637486,-0.2845047079469133,0.0078125,0.07291666666666667,False,
GZMA,8,0.3195579,0.71501994,0.5705311183886607,0.0078125,0.07291666666666667,False,
LYZ,8,0.495945,0.2622987,-0.3370803632592892,0.0078125,0.07291666666666667,False,
TBXAS1,8,0.1511307,0.061581455,-0.1291922601898269,0.0078125,0.07291666666666667,False,
LST1,8,0.50586784,0.21410969,-0.420918035945264,0.0078125,0.07291666666666667,False,
GZMK,8,0.10954198,0.57243145,0.667808332330647,0.0078125,0.07291666666666667,False,
S100A8,8,0.42786485,0.14361443,-0.41008669758091243,0.0078125,0.07291666666666667,False,
S100A9,8,0.5449817,0.24038467,-0.4394406534345139,0.0078125,0.07291666666666667,False,
XBP1,8,0.32627156,0.62421906,0.429847375178061,0.0078125,0.07291666666666667,False,
SERPINA1,8,0.24432856,0.053947765,-0.2746614314095999,0.0078125,0.07291666666666667,False,
AIF1,8,0.5404234,0.3090119,-0.3338562045035641,0.0078125,0.07291666666666667,False,
IL4R,8,0.30936047,0.0961559,-0.30758918674813057,0.0078125,0.07291666666666667,False,
FTL,8,3.1599252,2.906187,-0.3660667921879968,0.015625,0.0875,False,
MNDA,8,0.2001352,0.09760098,-0.14792561017096217,0.015625,0.0875,False,
HOPX,8,0.23762211,0.45769,0.31749085139541183,0.015625,0.0875,False,
FCN1,8,0.32567394,0.113857105,-0.3055870937137739,0.015625,0.0875,False,
IFI30,8,0.30871806,0.17911884,-0.18697214276405846,0.015625,0.0875,False,
DUSP2,8,0.09377228,0.27799195,0.26577280906939466,0.015625,0.0875,False,
FCGR3A,8,0.34676787,0.1486894,-0.28576682412810134,0.015625,0.0875,False,
CTSW,8,0.40556875,0.70763874,0.43579487921019866,0.015625,0.0875,False,
