gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
IGHD,18,0.5804854,0.17474861,-0.585354475049177,7.6293945e-06,7.227847450657894e-05,False,
GZMA,18,0.37348622,0.7358993,0.5228515941680354,7.6293945e-06,7.227847450657894e-05,False,
STEAP1B,18,0.15358715,0.052243184,-0.1462084278955911,7.6293945e-06,7.227847450657894e-05,False,
FTL,18,3.0570295,2.7573407,-0.43235956875487674,7.6293945e-06,7.227847450657894e-05,False,
ST6GALNAC3,18,0.15257248,0.042643998,-0.1585932855451864,7.6293945e-06,7.227847450657894e-05,False,
STMN1,18,0.16719538,0.2773576,0.15893050052786564,7.6293945e-06,7.227847450657894e-05,False,
NKG7,18,0.60290766,0.9638488,0.5207280383865068,7.6293945e-06,7.227847450657894e-05,False,
TCF7L2,18,0.1876655,0.060440183,-0.18354734474827056,7.6293945e-06,7.227847450657894e-05,False,
IL4R,18,0.50832534,0.1999782,-0.44485088366535613,7.6293945e-06,7.227847450657894e-05,False,
DMXL2,18,0.12714262,0.03997931,-0.1257500811773862,7.6293945e-06,7.227847450657894e-05,False,
CST7,18,0.37347302,0.65299445,0.40326418881684756,7.6293945e-06,7.227847450657894e-05,False,
INPP4B,18,0.33333105,0.61935014,0.4126383181804385,7.6293945e-06,7.227847450657894e-05,False,
PCDH9,18,0.16882914,0.063115686,-0.1525122799803165,7.6293945e-06,7.227847450657894e-05,False,
ITM2C,18,0.16007152,0.33257857,0.2488750621676652,7.6293945e-06,7.227847450657894e-05,False,
CTSW,18,0.39092004,0.6793102,0.41605905310609975,7.6293945e-06,7.227847450657894e-05,False,
GZMK,18,0.15038188,0.51270026,0.5227149539519248,7.6293945e-06,7.227847450657894e-05,False,
XBP1,18,0.35499132,0.6113022,0.3697784357675925,7.6293945e-06,7.227847450657894e-05,False,
KHDRBS2,18,0.2580774,0.08576128,-0.24859963195230841,7.6293945e-06,7.227847450657894e-05,False,
S100A8,18,0.44174242,0.17826086,-0.38012353618229217,7.6293945e-06,7.227847450657894e-05,False,
RGS18,18,0.14801228,0.0747905,-0.10563669941006505,1.5258789e-05,8.322975852272728e-05,False,
AIF1,18,0.5101516,0.21233049,-0.4296650735681464,1.5258789e-05,8.322975852272728e-05,False,
LYZ,18,0.57026696,0.26328987,-0.4428743300546526,1.5258789e-05,8.322975852272728e-05,False,
MS4A7,18,0.24454549,0.07609551,-0.24302195511301988,1.5258789e-05,8.322975852272728e-05,False,
VCAN,18,0.22446898,0.06845683,-0.22507795175476653,1.5258789e-05,8.322975852272728e-05,False,
FCRL1,18,0.5112496,0.19886667,-0.4506733133146538,1.5258789e-05,8.322975852272728e-05,False,
FCN1,18,0.36099276,0.09537309,-0.3832081740125048,1.5258789e-05,8.322975852272728e-05,False,
LILRB2,18,0.16291912,0.043719288,-0.1719689997398964,1.5258789e-05,8.322975852272728e-05,False,
TMSB4X,18,4.203873,4.3572087,0.2212164682906066,1.5258789e-05,8.322975852272728e-05,False,
CD8A,18,0.20023184,0.4060433,0.29692316670692087,1.5258789e-05,8.322975852272728e-05,False,
S100A9,18,0.5376154,0.25259262,-0.4112009731758526,1.5258789e-05,8.322975852272728e-05,False,
COL19A1,18,0.31118667,0.067394674,-0.3517175057045838,1.5258789e-05,8.322975852272728e-05,False,
DUSP6,18,0.15946065,0.046864193,-0.16244234326282148,1.5258789e-05,8.322975852272728e-05,False,
CSTA,18,0.1813342,0.044482693,-0.19743498680110508,1.5258789e-05,8.322975852272728e-05,False,
CLIC3,18,0.12577198,0.22359098,0.14112298690090327,2.2888184e-05,9.363347833806819e-05,False,
PRF1,18,0.29284245,0.44313633,0.2168282449625166,2.2888184e-05,9.363347833806819e-05,False,
HLA-DRA,18,2.2103198,1.4177033,-1.1435038744716206,2.2888184e-05,9.363347833806819e-05,False,
HOPX,18,0.25807765,0.44307262,0.2668913197371123,2.2888184e-05,9.363347833806819e-05,False,
