gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
LGALS1,8,19,1.0694394,0.6484872,-0.6073056526747025,0.00023242459,0.010288541418655464,False,
FTL,8,19,3.6467006,2.8858943,-1.0976115079674362,0.00041710303,0.010288541418655464,False,
FTH1,8,19,3.5948038,2.9058957,-0.9938842996831538,0.00031260206,0.010288541418655464,False,
TYROBP,8,19,1.2650486,0.44941705,-1.1767076189691235,0.000716192,0.013249552139313892,False,
S100A6,8,19,2.2663476,1.921853,-0.49700079592552115,0.00092339225,0.013666205247864126,False,
SAT1,8,19,1.1364832,0.70438045,-0.6233924798797824,0.0011828429,0.014588395560470719,False,
SLC39A6,8,19,0.056128606,0.07496587,0.02717642976644905,0.0014999494,0.015856607650805796,True,0.016528269974514842
MT1X,8,19,0.34260717,0.22940354,-0.16331831539715985,0.0023611814,0.0218409281806089,True,0.016528269974514842
GZMA,8,19,0.49003762,0.7400473,0.3606876908169607,0.0029323334,0.024110296741127968,False,
GPX1,8,19,1.3984197,0.75690806,-0.9255057175266098,0.0036142922,0.026745762629434466,False,
CST3,8,19,1.2080939,0.5219061,-0.98995974158179,0.0053962143,0.036301805383779785,False,
INPP4B,8,19,0.29108664,0.7161857,0.6132882841632789,0.007872707,0.048548361131300524,False,
SLC30A9,8,19,0.068445936,0.14403263,0.10904854498245985,0.009435717,0.05371100455522537,True,0.04403334607680639
GZMK,8,19,0.4414562,0.6935004,0.3636229187192363,0.013345495,0.07054047286510468,False,
HLA-DPA1,8,19,1.4942596,0.9197172,-0.828889475907552,0.0185246,0.08567627589218318,False,
CMC1,8,19,0.39110363,0.42888775,0.05451097608253509,0.0185246,0.08567627589218318,False,
HLA-DQB1,8,19,0.77180153,0.4517493,-0.46173777416224987,0.029322432,0.12763882318840306,False,
TMSB4X,8,19,4.8847847,4.361577,-0.7548291029144533,0.03390246,0.13937677525811723,False,
S100A4,8,19,2.3344088,2.1031442,-0.3336442788820384,0.03903832,0.15204397981104098,False,
HLA-DPB1,8,19,1.6445625,1.0146108,-0.9088282159071415,0.04479218,0.15783910701672238,False,
HLA-DQA1,8,19,0.68596816,0.4041533,-0.4065729200411344,0.04479218,0.15783910701672238,False,
HLA-DRB1,8,19,1.1145494,0.79772466,-0.45708147287712747,0.058322355,0.1598464548587799,False,
IFITM3,8,19,0.41272938,0.27661413,-0.196372800451545,0.058322355,0.1598464548587799,False,
MT-CO1,8,19,3.7935202,4.085105,0.4206678441839213,0.05119827,0.1598464548587799,False,
SLC39A10,8,19,0.14177705,0.23584692,0.13571413253126796,0.058322355,0.1598464548587799,True,0.16330259442329406
SLC39A11,8,19,0.042152297,0.13426186,0.13288600682481722,0.058322355,0.1598464548587799,True,0.16330259442329406
ATP5L,8,19,1.211498,0.5772213,-0.9150679184630951,0.056288496,0.1598464548587799,False,
SLC26A3,8,19,0.19632053,0.5107541,0.45363175887479584,0.062608354,0.16442493991605167,False,
ATP5E,8,19,1.6912915,0.7282793,-1.3893328659185291,0.0644368,0.16442493991605167,False,
ENSG00000289901,8,19,0.3178469,0.83612996,0.7477244136159853,0.07397481,0.17658503161322686,False,
GNB2L1,8,19,2.019269,0.9692136,-1.5149096960730024,0.07353502,0.17658503161322686,False,
CD8A,8,19,0.21429288,0.32047486,0.15318821479387004,0.08444309,0.18935723738236862,False,
RPL31,8,19,3.1490579,2.4995575,-0.9370309628915301,0.08444309,0.18935723738236862,False,
MTRNR2L8,8,19,0.89777863,0.3823254,-0.7436418034584785,0.10727869,0.20891113265564568,False,
MT-CO2,8,19,3.5090814,3.9153788,0.5861633094561848,0.10633875,0.20891113265564568,False,
ACTB,8,19,3.24188,3.5041256,0.378340506049472,0.10633875,0.20891113265564568,False,
CTSS,8,19,0.4992576,0.39298624,-0.15331715878635443,0.10633875,0.20891113265564568,False,
BCL2,8,19,0.30145487,0.6375551,0.4848901646127266,0.10633875,0.20891113265564568,False,
CST7,8,19,0.6213639,0.75939214,0.19913269204126594,0.11878338,0.22538384374899745,False,
SLC39A9,8,19,0.03965904,0.079395495,0.0573275897002937,0.13227391,0.2447067379951477,True,0.30863912900288903
H3F3A,8,19,1.356688,0.6380793,-1.03673326119767,0.15225932,0.26740280787150067,False,
MT-ND3,8,19,2.9315238,3.3668346,0.6280207909884769,0.16260982,0.26740280787150067,False,
TAGLN2,8,19,0.49987727,0.5662479,0.09575254474642475,0.16260982,0.26740280787150067,False,
H3F3B,8,19,1.5126691,0.7595822,-1.0864746854194895,0.15225932,0.26740280787150067,False,
MT2A,8,19,0.69665325,0.5493366,-0.21253297825721795,0.16260982,0.26740280787150067,True,0.32521963119506836
DUSP2,8,19,0.2934681,0.50033236,0.29844205298584714,0.17953357,0.2826698777523447,False,
TUBA4A,8,19,0.33529088,0.428235,0.134090014367845,0.17953357,0.2826698777523447,False,
SLC39A7,8,19,0.04787326,0.058649927,0.015547446616311479,0.19765818,0.2985041920019656,True,0.3397229790687561
NEAT1,8,19,1.1045821,0.88482594,-0.3170410737677429,0.19765818,0.2985041920019656,False,
CD8B,8,19,0.2635373,0.34469607,0.1170873795469206,0.21703771,0.3149174580387041,False,
RPS17,8,19,2.713853,1.8846319,-1.1963130392282055,0.21703771,0.3149174580387041,False,
RPS20,8,19,2.3836143,1.7278862,-0.9460156805379049,0.23767035,0.33184161669803114,False,
