gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
SLC39A9,8,18,0.03709303,0.11324324,0.10986152847091969,0.0010177465,0.08956169337034225,True,0.014248451218008995
SLC39A14,8,18,0.0024223882,0.008477297,0.008735386470093722,0.0029078398,0.09827378019690515,True,0.015634465031325817
SLC30A9,8,18,0.070506305,0.1648632,0.1361282237588829,0.0033502425,0.09827378019690515,True,0.015634465031325817
IL4R,8,18,0.30936047,0.50832534,0.28704562262642314,0.007629899,0.13428621962666512,False,
SLC39A11,8,18,0.04726712,0.20932557,0.23380091180652818,0.007629899,0.13428621962666512,True,0.02670464594848454
INPP4B,8,18,0.13842064,0.33333105,0.2811962776922654,0.015812837,0.1618869888285796,False,
TALAM1,8,18,0.32983965,1.0408123,1.0257166545226766,0.019033454,0.1618869888285796,False,
SLC39A6,8,18,0.04955533,0.07462951,0.03617439007694033,0.015812837,0.1618869888285796,True,0.03689661870400111
SLC39A10,8,18,0.10231317,0.20076507,0.14203607504108098,0.0132883135,0.1618869888285796,True,0.03689661870400111
EBF1,8,18,0.15030688,0.35984126,0.30229420639119775,0.022075498,0.1618869888285796,False,
OSBPL10,8,18,0.14872138,0.3773936,0.3299042796628817,0.018732937,0.1618869888285796,False,
PDE4D,8,18,0.13579354,0.38799727,0.36385307450175347,0.022075498,0.1618869888285796,False,
PAX5,8,18,0.19547947,0.46337032,0.3864848304724057,0.02590453,0.17535374600153703,False,
MT1X,8,18,0.15500408,0.121492215,-0.04834740809633536,0.035183307,0.20640873312950136,True,0.07036661356687546
NAMPT,8,18,0.1457051,0.28286514,0.19788009939936937,0.035183307,0.20640873312950136,False,
NCOA4,8,18,0.21952093,0.2954762,0.10958029384109629,0.05396873,0.2793675503310035,False,
FCRL1,8,18,0.26396146,0.5112496,0.35676136989342555,0.05396873,0.2793675503310035,False,
NIBAN3,8,18,0.20632245,0.46788707,0.3773579691650928,0.07623627,0.37271065513292945,False,
TBXAS1,8,18,0.1511307,0.2672826,0.16757176882046748,0.090496235,0.41914045496990804,False,
ENSG00000289901,8,18,0.3825002,0.9075559,0.7574951779681286,0.097202435,0.427690714597702,False,
CMC1,8,18,0.20444924,0.25310624,0.07019721269809286,0.10207166,0.4277288516362508,False,
HBB,8,18,1.3804262,0.41256627,-1.3963266264071907,0.12852283,0.4712503701448441,False,
AES,8,18,0.46751413,0.21015903,-0.3712849177978253,0.12802765,0.4712503701448441,False,
IFI30,8,18,0.30871806,0.52289695,0.30899482245146365,0.12852283,0.4712503701448441,False,
IFITM3,8,18,0.3637697,0.46773836,0.149995055910963,0.15974012,0.5622852230072021,False,
PLD4,8,18,0.11685911,0.13255922,0.02265048058176498,0.1960884,0.6139291794069351,False,
FHIT,8,18,0.19822085,0.31759286,0.17221740718123638,0.1960884,0.6139291794069351,False,
RPL27A,8,18,3.2305698,2.6948009,-0.7729512588011692,0.2162705,0.6139291794069351,False,
FTL,8,18,3.1599252,3.0570295,-0.148447169057535,0.2162705,0.6139291794069351,False,
MT1F,8,18,0.0769953,0.064792655,-0.017604692337016718,0.1960884,0.6139291794069351,True,0.3431547060608864
ACTN1,8,18,0.12767589,0.15659016,0.04171447795809967,0.2162705,0.6139291794069351,False,
GZMA,8,18,0.3195579,0.37348622,0.07780211353659539,0.26083115,0.7172856554389,False,
SLC39A1,8,18,0.08320341,0.10024103,0.024580082928782977,0.28524685,0.7382859622730928,True,0.4437173207600911
KLRD1,8,18,0.1929978,0.22422236,0.045047523229652255,0.28524685,0.7382859622730928,False,
IGHM,8,18,0.84266394,0.9839681,0.2038587752869759,0.31106943,0.7398408039196117,False,
RPS17,8,18,2.8243227,2.260558,-0.8133406964256964,0.31106943,0.7398408039196117,False,
NELL2,8,18,0.113132894,0.15327562,0.057913717323349836,0.31106943,0.7398408039196117,False,
MNDA,8,18,0.2001352,0.26543593,0.09420904345059376,0.3383425,0.7634394596784543,False,
CST3,8,18,0.4817363,0.5661936,0.1218460965006318,0.3383425,0.7634394596784543,False,
STMN1,8,18,0.18243326,0.16719538,-0.02198361785304444,0.36701092,0.768975263550168,False,
SERPINA1,8,18,0.24432856,0.2962194,0.07486267205937369,0.36701092,0.768975263550168,False,
CD8B,8,18,0.23839933,0.1845416,-0.07770027830945325,0.36701092,0.768975263550168,False,
JCHAIN,8,18,0.3713069,0.34666628,-0.035548899924667976,0.39710423,0.812678431355676,False,
HOPX,8,18,0.23762211,0.25807765,0.029511105000827355,0.42854938,0.8380521191491022,False,
CST7,8,18,0.32808062,0.37347302,0.0654873818128894,0.42854938,0.8380521191491022,False,
PPBP,8,18,0.17577422,0.2475932,0.10361288281712128,0.53078234,0.9134438806964504,False,
PRF1,8,18,0.27505836,0.29284245,0.02565701679065453,0.64356273,0.9134438806964504,False,
NKG7,8,18,0.5598365,0.60290766,0.0621385356352888,0.567283,0.9134438806964504,False,
GZMB,8,18,0.20483132,0.21863554,0.01991529000027423,0.64356273,0.9134438806964504,False,
MT2A,8,18,0.40216446,0.38610235,-0.02317272739894126,0.60491914,0.9134438806964504,True,0.7698970816352151
SLC39A4,8,18,0.055132695,0.060430117,0.00764256503904149,0.53078234,0.9134438806964504,True,0.7430952787399292
FOS,8,18,0.34656286,0.45491445,0.15631829903957317,0.64356273,0.9134438806964504,False,
MT-ATP6,8,18,3.463219,3.3720717,-0.13149759088440177,0.567283,0.9134438806964504,False,
LYZ,8,18,0.495945,0.57026696,0.10722391654596224,0.49543518,0.9134438806964504,False,
CD8A,8,18,0.18839395,0.20023184,0.01707845767212356,0.60491914,0.9134438806964504,False,
TMSB4X,8,18,4.3443766,4.203873,-0.20270356782113041,0.53078234,0.9134438806964504,False,
CD74,8,18,3.1057086,3.1975787,0.13254049367923385,0.60491914,0.9134438806964504,False,
CD68,8,18,0.22452882,0.2522983,0.0400628855662014,0.567283,0.9134438806964504,False,
IGLC3,8,18,0.40849894,0.2998625,-0.15672925158380985,0.53078234,0.9134438806964504,False,
IGLC2,8,18,0.5356064,0.43950742,-0.13864149222726654,0.49543518,0.9134438806964504,False,
AIF1,8,18,0.5404234,0.5101516,-0.0436729303947999,0.64356273,0.9134438806964504,False,
CFD,8,18,0.26095223,0.2784312,0.02521682719577117,0.64356273,0.9134438806964504,False,
S100A8,8,18,0.42786485,0.44174242,0.020021102326217573,0.764841,0.9479719685836577,False,
FCN1,8,18,0.32567394,0.36099276,0.05095428887136678,0.7236191,0.9479719685836577,False,
XBP1,8,18,0.32627156,0.35499132,0.04143384526755428,0.7236191,0.9479719685836577,False,
FTH1,8,18,2.9488702,2.8746035,-0.1071441595916246,0.7236191,0.9479719685836577,False,
GNLY,8,18,0.508215,0.47435406,-0.048851027042640056,0.764841,0.9479719685836577,False,
GZMH,8,18,0.21818565,0.20627095,-0.017189278992773283,0.7236191,0.9479719685836577,False,
IRF7,8,18,0.20352262,0.20917967,0.00816139370103187,0.68317807,0.9479719685836577,False,
MT-CYB,8,18,3.5013585,3.5245323,0.03343273939712655,0.764841,0.9479719685836577,False,
MT1E,8,18,0.027023498,0.029137608,0.003050015572810801,0.764841,0.9479719685836577,True,0.868735093336839
IGKC,8,18,1.0500686,0.90997696,-0.20210953974505028,0.89189035,0.9571506162969078,False,
IGHA1,8,18,0.21267831,0.20378438,-0.012831238619909712,0.89189035,0.9571506162969078,False,
MT-ND3,8,18,3.660027,3.6625795,0.0036824925202744584,0.89189035,0.9571506162969078,False,
FGFBP2,8,18,0.21218175,0.19661866,-0.022452786524598183,0.89189035,0.9571506162969078,False,
MT-ND4L,8,18,1.7962081,2.3727677,0.8317995943428016,0.89189035,0.9571506162969078,False,
SLC30A1,8,18,0.018695045,0.020246878,0.0022388217788114877,0.8066826,0.9571506162969078,True,0.868735093336839
HLA-DQA2,8,18,0.31172,0.26984504,-0.06041281872086866,0.8066826,0.9571506162969078,False,
S100A9,8,18,0.5449817,0.5376154,-0.010627323944765534,0.89189035,0.9571506162969078,False,
FCGR3A,8,18,0.34676787,0.36582255,0.027490093874875773,0.8066826,0.9571506162969078,False,
IGHD,8,18,0.6030409,0.5804854,-0.03254066538710116,0.84908867,0.9571506162969078,False,
NUDT1,8,18,0.13957119,0.1467416,0.010344713453735223,0.84908867,0.9571506162969078,False,
SPON2,8,18,0.18482515,0.17248884,-0.01779753863321232,0.9350223,0.9913489387696047,False,
CTSW,8,18,0.40556875,0.39092004,-0.021133615098986366,0.97831047,1.0,False,
LST1,8,18,0.50586784,0.5075461,0.0024212577501720512,1.0,1.0,False,
SLC39A7,8,18,0.07737988,0.07709864,-0.0004057500690480813,0.97831047,1.0,True,0.9783104658126831
ITM2C,8,18,0.157561,0.16007152,0.0036219116315080345,0.97831047,1.0,False,
HLA-DRA,8,18,2.1919093,2.2103198,0.02656065663395044,1.0,1.0,False,
