gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
ACTN1,7,0.13787927,0.05321607,-0.12214317503216594,0.015625,0.0460304054054054,False,
FCRL1,7,0.29538998,0.023599548,-0.39211072694742993,0.015625,0.0460304054054054,False,
FGFBP2,7,0.22047433,0.024040317,-0.28339438795294297,0.015625,0.0460304054054054,False,
MNDA,7,0.18905346,0.08051966,-0.15658117452141698,0.015625,0.0460304054054054,False,
LST1,7,0.47536448,0.2439495,-0.3338612349961018,0.015625,0.0460304054054054,False,
JCHAIN,7,0.3770397,0.0623404,-0.45401510820356905,0.015625,0.0460304054054054,False,
INPP4B,7,0.15362921,0.41887215,0.3826646658401156,0.015625,0.0460304054054054,False,
GNLY,7,0.51327646,0.12754253,-0.5564964311693384,0.015625,0.0460304054054054,False,
GZMA,7,0.32027268,0.56044644,0.34649748828559584,0.015625,0.0460304054054054,False,
GZMB,7,0.21890262,0.02840696,-0.27482713669370623,0.015625,0.0460304054054054,False,
IL4R,7,0.32443604,0.108642675,-0.31132402648776136,0.015625,0.0460304054054054,False,
GZMK,7,0.11191344,0.46754152,0.5130628576288768,0.015625,0.0460304054054054,False,
IGLC3,7,0.3764817,0.0233136,-0.5095138666413347,0.015625,0.0460304054054054,False,
IGLC2,7,0.5148434,0.026760632,-0.7041545868203776,0.015625,0.0460304054054054,False,
IGHM,7,0.8209642,0.09246756,-1.0509985341561365,0.015625,0.0460304054054054,False,
IGHD,7,0.5917372,0.013530497,-0.8341759646210984,0.015625,0.0460304054054054,False,
HLA-DRA,7,2.1722052,0.681723,-2.1503112945059075,0.015625,0.0460304054054054,False,
IGHA1,7,0.22635026,0.050842192,-0.25320461791397963,0.015625,0.0460304054054054,False,
FCN1,7,0.31730583,0.050138168,-0.3854414547252838,0.015625,0.0460304054054054,False,
MT-CYB,7,3.5408838,3.0058224,-0.7719303697856476,0.015625,0.0460304054054054,False,
FCGR3A,7,0.35216618,0.0347389,-0.45795075918591355,0.015625,0.0460304054054054,False,
IFI30,7,0.3327724,0.16851476,-0.236973690745308,0.015625,0.0460304054054054,False,
S100A9,7,0.5444679,0.058409214,-0.701234493391378,0.015625,0.0460304054054054,False,
CD74,7,3.0871456,1.3224596,-2.54590372422873,0.015625,0.0460304054054054,False,
S100A8,7,0.4137821,0.033038415,-0.5492970224259077,0.015625,0.0460304054054054,False,
MT1F,7,0.07702364,0.14358865,0.09603300545431928,0.015625,0.0460304054054054,True,0.21875
CFD,7,0.23409836,0.07443613,-0.23034391003936622,0.015625,0.0460304054054054,False,
PPBP,7,0.18273878,0.0,-0.2636363330912201,0.015625,0.0460304054054054,False,
SERPINA1,7,0.22895226,0.07593916,-0.22075123372219133,0.015625,0.0460304054054054,False,
TBXAS1,7,0.15114714,0.071055315,-0.11554808107712007,0.015625,0.0460304054054054,False,
CST7,7,0.34200937,0.6036721,0.3774995108867529,0.015625,0.0460304054054054,False,
TIGIT,7,0.054172058,0.17187177,0.16980479155927017,0.015625,0.0460304054054054,False,
