gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
GZMB,18,0.21863554,0.041283473,-0.25586495304668233,7.6293945e-06,6.545217413651316e-05,False,
GNLY,18,0.47435412,0.13852489,-0.48449916205599003,7.6293945e-06,6.545217413651316e-05,False,
DUSP6,18,0.15946065,0.028783865,-0.1885267369408701,7.6293945e-06,6.545217413651316e-05,False,
RGS18,18,0.14801228,0.027576856,-0.17375158916717373,7.6293945e-06,6.545217413651316e-05,False,
TCF7L2,18,0.18766552,0.019637944,-0.24241255608751888,7.6293945e-06,6.545217413651316e-05,False,
TBXAS1,18,0.26728258,0.10414326,-0.23536027850190125,7.6293945e-06,6.545217413651316e-05,False,
IL4R,18,0.50832534,0.15805173,-0.5053379988913975,7.6293945e-06,6.545217413651316e-05,False,
CFD,18,0.2784312,0.06267487,-0.3112705828790058,7.6293945e-06,6.545217413651316e-05,False,
FCGR3A,18,0.36582252,0.033867963,-0.47890920995499614,7.6293945e-06,6.545217413651316e-05,False,
TIGIT,18,0.07807191,0.22314018,0.2092892779727886,7.6293945e-06,6.545217413651316e-05,False,
FCRL5,18,0.15057315,0.03850043,-0.1616867589840871,7.6293945e-06,6.545217413651316e-05,False,
DMXL2,18,0.12714264,0.022323081,-0.15122265732390605,7.6293945e-06,6.545217413651316e-05,False,
LILRA5,18,0.121961035,0.008930441,-0.16306868257943247,7.6293945e-06,6.545217413651316e-05,False,
NRGN,18,0.14736663,0.0075746668,-0.20167717536078117,7.6293945e-06,6.545217413651316e-05,False,
PPM1L,18,0.13878426,0.04633716,-0.13337297570073525,7.6293945e-06,6.545217413651316e-05,False,
STEAP1B,18,0.15358715,0.022557607,-0.18903567660043585,7.6293945e-06,6.545217413651316e-05,False,
RGS1,18,0.025795527,0.16114162,0.19526312539251545,7.6293945e-06,6.545217413651316e-05,False,
GZMK,18,0.15038188,0.54678166,0.5718840199116729,7.6293945e-06,6.545217413651316e-05,False,
FHIT,18,0.31759286,0.19367899,-0.17876992468127803,7.6293945e-06,6.545217413651316e-05,False,
FCN1,18,0.36099276,0.034657214,-0.47080267871958953,1.5258789e-05,7.106236049107142e-05,False,
PF4,18,0.1535172,0.00036119216,-0.2209574194227445,1.5258789e-05,7.106236049107142e-05,False,
S100A8,18,0.44174245,0.032167036,-0.5908924023982849,1.5258789e-05,7.106236049107142e-05,False,
PCDH9,18,0.16882914,0.023153516,-0.21016550808110324,1.5258789e-05,7.106236049107142e-05,False,
S100A9,18,0.5376154,0.030517522,-0.7315876254508297,1.5258789e-05,7.106236049107142e-05,False,
FCRL1,18,0.5112496,0.064735994,-0.6441829465946348,1.5258789e-05,7.106236049107142e-05,False,
IGHD,18,0.5804854,0.051667854,-0.7629224344814062,1.5258789e-05,7.106236049107142e-05,False,
IGHM,18,0.9839681,0.24891795,-1.060453194395994,1.5258789e-05,7.106236049107142e-05,False,
IGLC2,18,0.43950742,0.16036434,-0.4027183588786717,1.5258789e-05,7.106236049107142e-05,False,
MT1X,18,0.12149223,0.20669585,0.1229228476309368,1.5258789e-05,7.106236049107142e-05,True,0.000213623046875
