gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
FCGR3A,18,0.26371917,0.02674244,-0.3418851500656003,7.6293945e-06,0.00014411078559027778,False,
SPON2,18,0.26209384,0.08904699,-0.24965384260643472,7.6293945e-06,0.00014411078559027778,False,
CTSS,18,0.5731782,0.3702491,-0.2927647766938777,7.6293945e-06,0.00014411078559027778,False,
TRDC,18,0.2404762,0.08825465,-0.21960929041829363,7.6293945e-06,0.00014411078559027778,False,
KLRF1,18,0.2107041,0.027430391,-0.26440808373913555,7.6293945e-06,0.00014411078559027778,False,
GZMB,18,0.50249135,0.07942923,-0.610349616607986,7.6293945e-06,0.00014411078559027778,False,
TAGLN2,18,1.217567,0.6611788,-0.8026984099903057,7.6293945e-06,0.00014411078559027778,False,
KLRD1,18,0.537252,0.14082712,-0.5719202222596795,7.6293945e-06,0.00014411078559027778,False,
FGFBP2,18,0.34361243,0.036913153,-0.4424735244868168,7.6293945e-06,0.00014411078559027778,False,
ADGRG1,18,0.1409594,0.017776888,-0.17771478962040332,1.5258789e-05,0.0001995380108173077,False,
MTSS1,18,0.1665647,0.07925098,-0.12596708028711234,1.5258789e-05,0.0001995380108173077,False,
S100A9,18,0.21805882,0.01609155,-0.2913771776710538,1.5258789e-05,0.0001995380108173077,False,
S100A8,18,0.1683867,0.00948618,-0.22924498389601558,1.5258789e-05,0.0001995380108173077,False,
PDLIM1,18,0.12225638,0.063126504,-0.08530638302651182,2.2888184e-05,0.00027792794363839287,False,
GNG7,18,0.14694774,0.08268715,-0.09270844107723736,3.8146973e-05,0.00036027696397569444,False,
PRF1,18,0.6241039,0.3030341,-0.4632058180700148,3.8146973e-05,0.00036027696397569444,False,
HOPX,18,0.5861634,0.40192243,-0.26580352947040503,3.8146973e-05,0.00036027696397569444,False,
CD79B,18,0.24941884,0.15418382,-0.13739509096080105,3.8146973e-05,0.00036027696397569444,False,
GZMH,18,0.5137303,0.18860546,-0.4690559799217641,5.340576e-05,0.0004323323567708333,False,
SLC39A7,18,0.10361597,0.06432155,-0.05668986728197873,5.340576e-05,0.0004323323567708333,True,0.0007476806640625
RPS20,18,2.3071415,1.6818862,-0.9020527873937503,5.340576e-05,0.0004323323567708333,False,
RALGPS2,18,0.14147733,0.058005735,-0.12042405795197267,7.6293945e-05,0.0005895441228693181,False,
LYN,18,0.22508714,0.10282715,-0.17638388037887012,0.00010681152,0.0007894764775815217,False,
