sample_id,n_cells_clustered,assumed_lognorm_input,n_clusters_res06,n_clusters_range,mean_ari_adjacent_res,silhouette_res06,flag_silhouette,flag_ari,stability_overall,dataset
CSF_10,2692,False,11,8-14,0.703227690984575,0.09187164902687073,FAIL,WARN,FAIL,GSE133028
CSF_16,6000,False,14,11-19,0.7147322694529984,0.16088968515396118,WARN,WARN,WARN,GSE133028
CSF_18,6000,False,14,11-18,0.7630846382719985,0.15909485518932343,WARN,PASS,WARN,GSE133028
CSF_2,515,False,6,4-10,0.6754547342781465,0.12480463087558746,WARN,WARN,WARN,GSE133028
CSF_21,5903,False,14,11-18,0.7105087901788453,0.14399123191833496,WARN,WARN,WARN,GSE133028
CSF_22,996,False,5,4-10,0.634410500670446,0.009903967380523682,FAIL,WARN,FAIL,GSE133028
CSF_24,4125,False,12,10-16,0.6244705501063015,0.11744111776351929,WARN,WARN,WARN,GSE133028
CSF_25,3333,False,12,8-17,0.7075902462289263,0.1757173091173172,WARN,WARN,WARN,GSE133028
CSF_27,3713,False,7,6-11,0.8213012473112689,0.15342576801776886,WARN,PASS,WARN,GSE133028
CSF_28,5781,False,13,10-17,0.557040766044851,0.16186995804309845,WARN,FAIL,FAIL,GSE133028
CSF_29,5281,False,11,9-16,0.5651023929620552,0.0970388725399971,FAIL,FAIL,FAIL,GSE133028
CSF_3,2321,False,8,6-12,0.6828880721803614,0.13362053036689758,WARN,WARN,WARN,GSE133028
CSF_31,5316,False,12,7-15,0.6720250288803724,0.05793604627251625,FAIL,WARN,FAIL,GSE133028
CSF_32,3973,False,13,11-17,0.7214702385536754,0.19624745845794678,WARN,WARN,WARN,GSE133028
CSF_6,4606,False,17,15-19,0.8763913204607648,0.20587971806526184,PASS,PASS,PASS,GSE133028
CSF_7,2498,False,10,6-14,0.7147633314175099,0.12915576994419098,WARN,WARN,WARN,GSE133028
CSF_8,5014,False,13,12-16,0.8355373339526038,0.2375790923833847,PASS,PASS,PASS,GSE133028
CSF_9,3172,False,11,8-14,0.7436209575521163,0.14863617718219757,WARN,WARN,WARN,GSE133028
PB_10,5756,False,17,13-18,0.8241217116111837,0.34244129061698914,PASS,PASS,PASS,GSE133028
PB_16,6000,False,14,13-19,0.7783045236065119,0.2694552540779114,PASS,PASS,PASS,GSE133028
PB_2,5196,False,13,11-17,0.8682372988202459,0.239055335521698,PASS,PASS,PASS,GSE133028
PB_22,6000,False,18,14-21,0.8745430193256368,0.3089715540409088,PASS,PASS,PASS,GSE133028
PB_24,6000,False,19,13-21,0.790109601424969,0.24531380832195282,PASS,PASS,PASS,GSE133028
PB_25,6000,False,18,14-23,0.8760586988142826,0.2925397753715515,PASS,PASS,PASS,GSE133028
PB_27,4669,False,12,10-17,0.835963776348569,0.2225486785173416,PASS,PASS,PASS,GSE133028
PB_28,6000,False,10,10-15,0.8195979122240962,0.26245933771133423,PASS,PASS,PASS,GSE133028
PB_29,6000,False,14,12-17,0.8962839106441343,0.29524266719818115,PASS,PASS,PASS,GSE133028
PB_3,6000,False,13,12-16,0.9741096651947722,0.2956226170063019,PASS,PASS,PASS,GSE133028
PB_31,6000,False,14,12-15,0.8833343755850896,0.22946025431156158,PASS,PASS,PASS,GSE133028
PB_32,5661,False,21,17-22,0.8939730884561375,0.13448700308799744,WARN,PASS,WARN,GSE133028
PB_6,6000,False,17,17-20,0.9098351594677081,0.2841632068157196,PASS,PASS,PASS,GSE133028
PB_7,6000,False,16,13-18,0.8789587643286003,0.24252749979496002,PASS,PASS,PASS,GSE133028
PB_8,6000,False,13,11-18,0.8648948780191432,0.24190327525138855,PASS,PASS,PASS,GSE133028
PB_9,6000,False,12,11-17,0.8888755256229831,0.26088935136795044,PASS,PASS,PASS,GSE133028
MS19270_CSF,4097,False,10,9-14,0.835348711723181,0.1322123408317566,WARN,PASS,WARN,GSE138266
MS19270_PB,6000,False,15,14-16,0.9368357339226726,0.21998214721679688,PASS,PASS,PASS,GSE138266
MS49131_CSF,1404,False,7,6-10,0.8766560619484784,0.21436375379562378,PASS,PASS,PASS,GSE138266
MS49131_PB,5146,False,12,9-15,0.8079887543322907,0.20885537564754486,PASS,PASS,PASS,GSE138266
