sample_id,dataset,expected_tissue,n_cells,n_genes_total,median_genes,median_counts,median_pct_mt,flag_cells,flag_genes,flag_counts,flag_mito,qc_overall
CSF_10,GSE133028,CSF,2692,38606,1424.0,3332.0,4.403101921081543,PASS,PASS,PASS,PASS,PASS
CSF_16,GSE133028,CSF,7092,38606,2118.0,5732.0,2.3132951259613037,PASS,PASS,PASS,PASS,PASS
CSF_18,GSE133028,CSF,7452,38606,1917.0,4426.5,2.8897972106933594,PASS,PASS,PASS,PASS,PASS
CSF_2,GSE133028,CSF,515,38606,1273.0,3563.0,4.156091213226318,PASS,PASS,PASS,PASS,PASS
CSF_21,GSE133028,CSF,5903,38606,1074.0,2145.0,3.7489349842071533,PASS,PASS,PASS,PASS,PASS
CSF_22,GSE133028,CSF,996,38606,1969.0,4833.5,4.755561828613281,PASS,PASS,PASS,PASS,PASS
CSF_24,GSE133028,CSF,4125,38606,1185.0,2477.0,3.4444026947021484,PASS,PASS,PASS,PASS,PASS
CSF_25,GSE133028,CSF,3333,38606,1130.0,2367.0,3.0963802337646484,PASS,PASS,PASS,PASS,PASS
CSF_27,GSE133028,CSF,3713,38606,1095.0,1797.0,4.6977763175964355,PASS,PASS,PASS,PASS,PASS
CSF_28,GSE133028,CSF,5781,38606,914.0,1755.0,3.995433807373047,PASS,PASS,PASS,PASS,PASS
CSF_29,GSE133028,CSF,5281,38606,615.0,1268.0,4.307692050933838,PASS,WARN,WARN,PASS,WARN
CSF_3,GSE133028,CSF,2321,38606,958.0,2088.0,4.345434665679932,PASS,PASS,PASS,PASS,PASS
CSF_31,GSE133028,CSF,5316,38606,1766.0,4393.0,4.1999664306640625,PASS,PASS,PASS,PASS,PASS
CSF_32,GSE133028,CSF,3973,38606,1388.0,3458.0,4.218600273132324,PASS,PASS,PASS,PASS,PASS
CSF_6,GSE133028,CSF,4606,38606,1714.5,3744.5,5.67539644241333,PASS,PASS,PASS,PASS,PASS
CSF_7,GSE133028,CSF,2498,38606,1703.0,3621.5,4.464407920837402,PASS,PASS,PASS,PASS,PASS
CSF_8,GSE133028,CSF,5014,38606,1161.0,2898.0,3.724245071411133,PASS,PASS,PASS,PASS,PASS
CSF_9,GSE133028,CSF,3172,38606,1587.0,3546.0,5.412449836730957,PASS,PASS,PASS,PASS,PASS
PB_10,GSE133028,PB,5756,38606,1696.0,4451.0,4.615926265716553,PASS,PASS,PASS,PASS,PASS
PB_16,GSE133028,PB,10138,38606,2293.0,6279.0,2.6051573753356934,PASS,PASS,PASS,PASS,PASS
PB_2,GSE133028,PB,5196,38606,1477.5,4400.5,5.24827241897583,PASS,PASS,PASS,PASS,PASS
PB_22,GSE133028,PB,6830,38606,2484.0,6858.5,3.4994146823883057,PASS,PASS,PASS,PASS,PASS
PB_24,GSE133028,PB,8807,38606,1757.0,4238.0,4.69003963470459,PASS,PASS,PASS,PASS,PASS
PB_25,GSE133028,PB,7027,38606,1309.0,3044.0,3.1119089126586914,PASS,PASS,PASS,PASS,PASS
PB_27,GSE133028,PB,4669,38606,1507.0,3878.0,3.823024034500122,PASS,PASS,PASS,PASS,PASS
PB_28,GSE133028,PB,6662,38606,1070.0,2215.5,4.273135185241699,PASS,PASS,PASS,PASS,PASS
