gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2fc,pval,padj
MT1E,27,0.07144315,0.09602194,0.035459705422364256,2.208352e-05,0.00030916929244995117
MT1F,27,0.106529035,0.13890769,0.04671251951940214,4.74602e-05,0.0003322213888168335
MT1X,27,0.26669407,0.30019608,0.04833318728089214,0.0016869754,0.007872551679611206
SLC39A7,27,0.054974988,0.06419598,0.013303083771467506,0.008215055,0.02875269204378128
SLC39A6,27,0.068961225,0.075009495,0.00872580851441657,0.015064374,0.042180246114730834
SLC39A9,27,0.066850394,0.07172674,0.007035079320531335,0.18547443,0.338940292596817
SLC39A10,27,0.20281799,0.21161148,0.012686321738726436,0.19368017,0.338940292596817
MT2A,27,0.5968782,0.6130689,0.023358253683559514,0.18547443,0.338940292596817
SLC39A4,27,0.06426337,0.0600343,-0.0061012618964668384,0.3361395,0.5228836668862237
SLC39A1,27,0.08486214,0.081870586,-0.004315904623402183,0.5148515,0.7207921147346497
SLC39A11,27,0.10703598,0.10743502,0.000575690425931894,0.7857417,0.905458743755634
SLC30A1,27,0.024803389,0.023767773,-0.0014940777815392922,0.8407831,0.905458743755634
SLC30A9,27,0.11928329,0.1171816,-0.003032097130374032,0.7676084,0.905458743755634
SLC39A14,27,0.009015768,0.008980405,-5.101838465556021e-05,0.94636893,0.946368932723999
