gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2fc,pval,padj
SLC39A7,16,0.06192957,0.09509538,0.0478481532097963,0.005218826,0.07306356076151133
MT1X,16,0.227343,0.28538287,0.08373383816051638,0.015052023,0.10536416340619326
SLC39A6,16,0.077675,0.09326861,0.02249682483213474,0.033941284,0.1583926578362783
SLC39A11,16,0.16145575,0.1929211,0.04539490668656377,0.06258362,0.19664936065673827
MT1E,16,0.068360925,0.09192148,0.03399069411218821,0.070231915,0.19664936065673827
SLC39A1,16,0.082824245,0.090166606,0.010592787678689146,0.09787705,0.2283797785639763
SLC39A4,16,0.062014617,0.06774734,0.008270570437582715,0.19595867,0.30482460392846
SLC30A1,16,0.022910422,0.03314762,0.014769152565976438,0.19591443,0.30482460392846
MT1F,16,0.1170422,0.13946751,0.03235288183019033,0.1625328,0.30482460392846
SLC39A14,16,0.00852277,0.01339332,0.00702671800774759,0.50661576,0.7092620611190795
SLC39A9,16,0.10324275,0.10050054,-0.003956170662375582,0.7959205,0.8360846638679504
SLC39A10,16,0.27433097,0.27880082,0.006448618481089157,0.71729046,0.8360846638679504
SLC30A9,16,0.15562898,0.1547934,-0.0012054908933914993,0.75628996,0.8360846638679504
MT2A,16,0.5105857,0.5124799,0.002732718330884598,0.83608466,0.8360846638679504
