gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2fc,pval,padj
MT1X,16,0.13065183,0.2341511,0.14931787422319068,3.0517578e-05,0.00042724609375
MT1F,16,0.07374027,0.13250154,0.08477459117221267,0.00015258789,0.0007120768229166667
MT2A,16,0.38550782,0.53424424,0.214581291628994,0.00015258789,0.0007120768229166667
SLC39A7,16,0.089721695,0.12351059,0.04874707427910917,0.00021362305,0.0007476806640625
MT1E,16,0.028857661,0.080367744,0.07431333797468653,0.00076293945,0.00213623046875
SLC39A6,16,0.07774614,0.104222074,0.038196701821689064,0.009185791,0.021433512369791668
SLC39A10,16,0.23577707,0.25769454,0.03162023573751477,0.08325195,0.16650390625
SLC39A9,16,0.13413581,0.14399388,0.014222191304425391,0.1166687,0.1814846462673611
SLC39A14,16,0.009098306,0.013419544,0.006234228670644068,0.10458374,0.1814846462673611
SLC30A9,16,0.19042845,0.2056612,0.02197622259905734,0.175354,0.24549560546875
SLC39A11,16,0.24963707,0.2331152,-0.023836021487656393,0.49542236,0.6305375532670454
SLC39A1,16,0.10503335,0.101307094,-0.00537585519850103,0.63217163,0.7375335693359375
SLC39A4,16,0.06306876,0.060146637,-0.0042157354781902755,0.7819519,0.781951904296875
SLC30A1,16,0.022565778,0.026169408,0.005198938795341595,0.7435608,0.781951904296875
