names,scores,logfoldchanges,pvals,pvals_adj
SLC30A9,0.9525611,3.0767748,0.34081250038206257,1.0
SLC39A6,0.5364999,1.6863353,0.591613088825537,1.0
MT1F,0.40511218,1.9180151,0.685395048646191,1.0
MT1E,0.40511218,1.966416,0.685395048646191,1.0
SLC39A14,0.27372444,26.157187,0.7842963861669063,1.0
SLC39A7,0.26277548,1.0121497,0.7927236413002565,1.0
MT2A,0.1532857,0.14097959,0.8781729831395351,1.0
MT1X,0.032846935,0.026235718,0.9737966503979509,1.0
SLC39A11,0.0,0.0,1.0,1.0
SLC30A1,-0.021897957,-0.4149983,0.9825293552146238,1.0
SLC39A9,-0.28467342,-26.602985,0.7758943494817551,1.0
SLC39A1,-0.28467342,-25.954084,0.7758943494817551,1.0
SLC39A10,-0.41058668,-1.2604674,0.6813756352623426,1.0
