names,scores,logfoldchanges,pvals,pvals_adj
MT2A,1.1812807,0.5065342,0.23749121762788705,1.0
MT1X,0.8634033,0.65445036,0.38791574522222505,1.0
SLC39A1,0.7818576,0.7630555,0.4342982705858718,1.0
MT1F,0.7330308,0.71359164,0.46353963350801375,1.0
SLC39A7,0.50827664,0.4669853,0.6112593446381003,1.0
SLC39A6,0.40458268,0.40479845,0.6857842959853933,1.0
SLC30A9,0.345311,0.3678714,0.7298605793910362,1.0
SLC39A11,0.18234535,0.62506783,0.8553117122797664,1.0
MT1E,-0.003146055,-0.5301317,0.9974898154200662,1.0
SLC39A10,-0.01724038,-0.18181497,0.9862448472226745,1.0
SLC39A14,-0.081923276,-23.229982,0.9347077278712518,1.0
SLC30A1,-0.21065985,-24.333893,0.8331527115873401,1.0
SLC39A9,-0.22286654,-1.1042901,0.823639381002853,1.0
