gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2fc,pval,padj
MT1F,26,0.09690292,0.1407637,0.06327772721677269,2.9802322e-07,4.172325134277344e-06
SLC39A7,26,0.079390354,0.102986045,0.03404138599853003,1.5974045e-05,7.454554239908855e-05
MT1E,26,0.043000348,0.09080373,0.06896569867984267,1.1056662e-05,7.454554239908855e-05
SLC39A11,26,0.16523701,0.13200907,-0.047937777668727186,5.1647425e-05,0.00018076598644256592
MT1X,26,0.21135531,0.25251484,0.05938064334388416,0.00041159987,0.0011524796485900878
SLC30A1,26,0.02524049,0.0157884,-0.01363648288908074,0.00059074163,0.0013783971468607585
SLC39A6,26,0.06703657,0.089389294,0.032248165893646236,0.0007454455,0.0014908909797668457
SLC39A10,26,0.13863453,0.16253272,0.0344777919750944,0.0011651218,0.0020389631390571594
MT2A,26,0.56534415,0.6363275,0.1024073274302357,0.006689191,0.010405408011542425
SLC39A1,26,0.085239306,0.093614966,0.012083522547452293,0.20785403,0.24249637126922607
SLC39A14,26,0.006785662,0.008614379,0.0026382810449584776,0.17931825,0.24249637126922607
SLC30A9,26,0.12862638,0.13846487,0.014193943154021175,0.19873619,0.24249637126922607
SLC39A4,26,0.060903728,0.058184974,-0.003922333075818324,0.34033126,0.3665105838042039
SLC39A9,26,0.093244106,0.09308525,-0.00022917763119037143,0.6170916,0.6170915961265564
