tissue,dataset,total_counts,n_genes_detected
CSF,GSE133028,3202.0,1177
CSF,GSE133028,3388.0,945
CSF,GSE133028,3293.0,1116
CSF,GSE133028,3307.0,1019
CSF,GSE133028,2613.0,529
CSF,GSE133028,2864.0,962
CSF,GSE133028,4252.0,1589
CSF,GSE133028,12915.0,3358
CSF,GSE133028,5052.0,1662
CSF,GSE133028,4791.0,1690
CSF,GSE133028,3278.0,1207
CSF,GSE133028,3797.0,1246
CSF,GSE133028,3755.0,1148
CSF,GSE133028,18107.0,3598
CSF,GSE133028,4949.0,1672
CSF,GSE133028,3173.0,1105
CSF,GSE133028,2481.0,883
CSF,GSE133028,3589.0,1215
CSF,GSE133028,3629.0,1445
CSF,GSE133028,2201.0,994
CSF,GSE133028,2351.0,911
CSF,GSE133028,3873.0,1350
CSF,GSE133028,3385.0,1382
CSF,GSE133028,3528.0,1221
CSF,GSE133028,3146.0,1200
CSF,GSE133028,3299.0,1417
CSF,GSE133028,3075.0,1506
CSF,GSE133028,4039.0,1881
CSF,GSE133028,3935.0,1628
CSF,GSE133028,3068.0,1283
CSF,GSE133028,15862.0,3302
CSF,GSE133028,5453.0,1658
CSF,GSE133028,5231.0,1577
CSF,GSE133028,5369.0,1804
CSF,GSE133028,2506.0,982
CSF,GSE133028,2989.0,1111
CSF,GSE133028,3131.0,1038
CSF,GSE133028,2910.0,1017
CSF,GSE133028,5921.0,2040
CSF,GSE133028,3252.0,1206
CSF,GSE133028,3421.0,1540
CSF,GSE133028,6508.0,1832
CSF,GSE133028,3763.0,1461
CSF,GSE133028,2662.0,1061
CSF,GSE133028,5326.0,1595
CSF,GSE133028,3433.0,1401
CSF,GSE133028,3235.0,1193
CSF,GSE133028,3573.0,1430
CSF,GSE133028,4006.0,1566
CSF,GSE133028,5296.0,1874
CSF,GSE133028,15851.0,3727
CSF,GSE133028,3367.0,922
CSF,GSE133028,5412.0,1719
CSF,GSE133028,4070.0,1631
CSF,GSE133028,4426.0,1392
CSF,GSE133028,4563.0,1595
CSF,GSE133028,3368.0,1185
CSF,GSE133028,4486.0,1745
CSF,GSE133028,2397.0,1084
CSF,GSE133028,2703.0,919
CSF,GSE133028,4616.0,1576
CSF,GSE133028,9075.0,2684
CSF,GSE133028,2664.0,1149
CSF,GSE133028,3414.0,1395
CSF,GSE133028,4099.0,1327
CSF,GSE133028,5951.0,1546
CSF,GSE133028,3678.0,1232
CSF,GSE133028,2834.0,1366
CSF,GSE133028,3898.0,1238
CSF,GSE133028,4508.0,1419
CSF,GSE133028,9212.0,2863
CSF,GSE133028,2349.0,1176
CSF,GSE133028,2259.0,906
CSF,GSE133028,5303.0,1489
CSF,GSE133028,4239.0,1449
CSF,GSE133028,10011.0,2721
CSF,GSE133028,6816.0,2095
CSF,GSE133028,5640.0,1903
CSF,GSE133028,3028.0,1141
CSF,GSE133028,2144.0,919
CSF,GSE133028,5095.0,1791
CSF,GSE133028,2223.0,1025
CSF,GSE133028,5136.0,1737
CSF,GSE133028,4469.0,1743
CSF,GSE133028,3780.0,1240
CSF,GSE133028,15384.0,3097
CSF,GSE133028,1385.0,910
CSF,GSE133028,2665.0,937
CSF,GSE133028,3734.0,1388
CSF,GSE133028,2448.0,1074
CSF,GSE133028,1182.0,836
CSF,GSE133028,4637.0,1523
CSF,GSE133028,2795.0,823
CSF,GSE133028,3280.0,1034
CSF,GSE133028,3827.0,1379
CSF,GSE133028,2743.0,1206
CSF,GSE133028,4630.0,1307
CSF,GSE133028,3617.0,1422
CSF,GSE133028,3508.0,1492
CSF,GSE133028,3442.0,1379
CSF,GSE133028,13509.0,3458
CSF,GSE133028,9940.0,3331
CSF,GSE133028,3717.0,1234
CSF,GSE133028,3315.0,1258
CSF,GSE133028,4776.0,1819
CSF,GSE133028,3111.0,975
CSF,GSE133028,2166.0,958
CSF,GSE133028,2177.0,1417
CSF,GSE133028,3753.0,1258
CSF,GSE133028,2875.0,1131
CSF,GSE133028,8620.0,2767
CSF,GSE133028,2939.0,1335
CSF,GSE133028,4073.0,1735
CSF,GSE133028,4576.0,1706
CSF,GSE133028,1630.0,859
CSF,GSE133028,3715.0,1357
CSF,GSE133028,5761.0,1598
CSF,GSE133028,2432.0,877
CSF,GSE133028,5169.0,1904
CSF,GSE133028,3634.0,1163
CSF,GSE133028,3088.0,1123
CSF,GSE133028,3503.0,1249
CSF,GSE133028,2987.0,946
CSF,GSE133028,4396.0,1587
CSF,GSE133028,2564.0,1079
CSF,GSE133028,13070.0,2780
CSF,GSE133028,3139.0,1146
CSF,GSE133028,3600.0,1223
CSF,GSE133028,3465.0,1377
CSF,GSE133028,3316.0,1149
CSF,GSE133028,3508.0,1205
CSF,GSE133028,3162.0,1226
CSF,GSE133028,6420.0,2067
CSF,GSE133028,5463.0,1876
CSF,GSE133028,2664.0,987
CSF,GSE133028,5427.0,1685
CSF,GSE133028,3953.0,1353
CSF,GSE133028,6634.0,2056
CSF,GSE133028,2160.0,1000
CSF,GSE133028,3954.0,1722
CSF,GSE133028,4218.0,1677
CSF,GSE133028,8089.0,2324
CSF,GSE133028,3660.0,1406
CSF,GSE133028,2623.0,979
CSF,GSE133028,3811.0,1743
CSF,GSE133028,5898.0,1714
CSF,GSE133028,11136.0,2356
CSF,GSE133028,3748.0,1339
CSF,GSE133028,3782.0,1592
CSF,GSE133028,4490.0,1572
CSF,GSE133028,2405.0,825
CSF,GSE133028,2547.0,956
CSF,GSE133028,23996.0,4477
CSF,GSE133028,5762.0,2004
CSF,GSE133028,3696.0,1278
CSF,GSE133028,5756.0,2019
