gene,tissue,cxcr3_group,n_cells,pct_expressing,mean_count
SLC39A1,ALL,ALL,173663,7.5537103470514735,0.0810305
SLC39A1,CSF,CXCR3+,16509,7.941123023805197,0.0857714
SLC39A1,CSF,CXCR3-,45988,6.458206488649212,0.0696486
SLC39A1,PB,CXCR3+,11135,9.708127525819489,0.105882354
SLC39A1,PB,CXCR3-,100031,7.7535963851206136,0.08271436
SLC39A4,ALL,ALL,173663,5.215273259128312,0.055492535
SLC39A4,CSF,CXCR3+,16509,5.784723484160155,0.062208492
SLC39A4,CSF,CXCR3-,45988,4.7773332173610505,0.049947813
SLC39A4,PB,CXCR3+,11135,6.14279299506062,0.066187695
SLC39A4,PB,CXCR3-,100031,5.219381991582609,0.05574272
SLC39A6,ALL,ALL,173663,6.288040630416381,0.068247125
SLC39A6,CSF,CXCR3+,16509,7.226361378641953,0.07807862
SLC39A6,CSF,CXCR3-,45988,5.283987127076629,0.056493
SLC39A6,PB,CXCR3+,11135,9.241131567130669,0.105253704
SLC39A6,PB,CXCR3-,100031,6.266057522168128,0.06790895
SLC39A7,ALL,ALL,173663,6.59265358769571,0.07117233
SLC39A7,CSF,CXCR3+,16509,6.6630322854200745,0.07359622
SLC39A7,CSF,CXCR3-,45988,4.14455945029138,0.043402627
SLC39A7,PB,CXCR3+,11135,10.839694656488549,0.12375393
SLC39A7,PB,CXCR3-,100031,7.2337575351640995,0.077685915
SLC39A9,ALL,ALL,173663,8.672543950064204,0.102261275
SLC39A9,CSF,CXCR3+,16509,7.19607486825368,0.08431765
SLC39A9,CSF,CXCR3-,45988,5.671044620335739,0.06440811
SLC39A9,PB,CXCR3+,11135,12.563987427031881,0.15482712
SLC39A9,PB,CXCR3-,100031,9.862942487828773,0.1167738
SLC39A10,ALL,ALL,173663,14.327173894266481,0.18047598
SLC39A10,CSF,CXCR3+,16509,17.669150160518505,0.22557393
SLC39A10,CSF,CXCR3-,45988,15.65843263460033,0.21259893
SLC39A10,PB,CXCR3+,11135,17.557251908396946,0.21841042
SLC39A10,PB,CXCR3-,100031,12.804030750467355,0.15404224
SLC39A11,ALL,ALL,173663,14.190702682782169,0.22752687
SLC39A11,CSF,CXCR3+,16509,11.32109758313647,0.16100308
SLC39A11,CSF,CXCR3-,45988,9.378533530486214,0.13046882
SLC39A11,PB,CXCR3+,11135,17.180062864840593,0.27346206
SLC39A11,PB,CXCR3-,100031,16.543871399866042,0.27801383
SLC39A14,ALL,ALL,173663,0.7934908414573052,0.0082746465
SLC39A14,CSF,CXCR3+,16509,1.0297413532012842,0.010479133
SLC39A14,CSF,CXCR3-,45988,0.7806384274158475,0.008067322
SLC39A14,PB,CXCR3+,11135,1.329142343960485,0.01454872
SLC39A14,PB,CXCR3-,100031,0.700782757345223,0.007307735
SLC30A1,ALL,ALL,173663,2.3188589394401804,0.02448996
SLC30A1,CSF,CXCR3+,16509,2.4350354352171544,0.025743533
SLC30A1,CSF,CXCR3-,45988,2.1570844568148213,0.022962512
SLC30A1,PB,CXCR3+,11135,1.8500224517287829,0.019039067
SLC30A1,PB,CXCR3-,100031,2.42624786316242,0.025592066
SLC30A9,ALL,ALL,173663,12.220219620759748,0.14575356
SLC30A9,CSF,CXCR3+,16509,11.781452541038222,0.13901508
SLC30A9,CSF,CXCR3-,45988,9.667739410280943,0.11181178
SLC30A9,PB,CXCR3+,11135,17.153120790300854,0.21490794
SLC30A9,PB,CXCR3-,100031,12.916995731323288,0.15477201
MT1E,ALL,ALL,173663,4.730426170226243,0.06485549
MT1E,CSF,CXCR3+,16509,7.880550003028651,0.09740142
MT1E,CSF,CXCR3-,45988,5.236148560494041,0.07084457
MT1E,PB,CXCR3+,11135,8.845981140547822,0.17575213
MT1E,PB,CXCR3-,100031,3.5199088282632385,0.04438624
MT1F,ALL,ALL,173663,8.190000172748368,0.09350869
MT1F,CSF,CXCR3+,16509,10.539705615119026,0.12078261
MT1F,CSF,CXCR3-,45988,7.112725058710969,0.07943377
MT1F,PB,CXCR3+,11135,13.31836551414459,0.17027391
MT1F,PB,CXCR3-,100031,7.7266047525267165,0.086933054
MT1X,ALL,ALL,173663,17.192493507540465,0.21298146
MT1X,CSF,CXCR3+,16509,21.291416802955965,0.26143315
MT1X,CSF,CXCR3-,45988,16.61085500565365,0.22088371
MT1X,PB,CXCR3+,11135,22.891782667265378,0.30678043
MT1X,PB,CXCR3-,100031,16.148993811918306,0.19091082
MT2A,ALL,ALL,173663,36.28176410634389,0.78776133
MT2A,CSF,CXCR3+,16509,40.65661154521776,0.8200981
MT2A,CSF,CXCR3-,45988,33.267374097590675,0.8284335
MT2A,PB,CXCR3+,11135,44.03233048944769,1.1224068
MT2A,PB,CXCR3-,100031,36.08281432755845,0.7264748
